,controller config,fot safety,fot comfort,fot mean comfort,GAIL_nondet_ppo best_loss safety,GAIL_nondet_ppo best_loss comfort,GAIL_nondet_ppo best_loss mean comfort,GAIL_nondet_ppo best_eucl safety,GAIL_nondet_ppo best_eucl comfort,GAIL_nondet_ppo best_eucl mean comfort,GAIL_nondet_ppo best_dtw safety,GAIL_nondet_ppo best_dtw comfort,GAIL_nondet_ppo best_dtw mean comfort
0,10.0,0.3218390643596649,0.34482765197753906,0.09486061334609985,1.957554817199707,5.800723552703857,2.069911479949951,0.23177118599414825,0.36531323194503784,0.12759098410606384,0.2806782126426697,0.25710758566856384,0.0954781323671341
1,10.0,0.27586206793785095,0.5977011919021606,0.11705642193555832,1.2905051708221436,7.763552188873291,1.857517957687378,0.25872325897216797,0.3851742148399353,0.15154482424259186,0.2987009286880493,0.343170166015625,0.09474632889032364
2,10.0,0.41379308700561523,0.5287356376647949,0.11705642193555832,1.1428176164627075,5.229946613311768,1.8246628046035767,0.2690657079219818,0.30758416652679443,0.10239559412002563,0.2810882031917572,0.3133203983306885,0.07813949882984161
3,10.0,0.3218390643596649,0.36781609058380127,0.08429118990898132,1.4061893224716187,5.775955677032471,1.828896403312683,0.32500362396240234,0.5148388147354126,0.13143715262413025,0.3062441647052765,0.3587764799594879,0.10632429271936417
4,10.0,0.39080461859703064,0.36781615018844604,0.11890606582164764,1.3432354927062988,5.079005241394043,1.9585545063018799,0.25387272238731384,0.3959183096885681,0.12516707181930542,0.3036381006240845,0.3617075979709625,0.10187932848930359
5,10.0,0.3218390941619873,0.6436781883239746,0.11732064932584763,1.4531059265136719,5.8001275062561035,1.9259462356567383,0.26265066862106323,0.3234795928001404,0.0981941893696785,0.26971399784088135,0.33610767126083374,0.09907131642103195
6,10.0,0.39080461859703064,0.39080455899238586,0.1075439304113388,1.0586870908737183,4.126470565795898,1.5269912481307983,0.24366699159145355,0.43579232692718506,0.09869250655174255,0.2687973380088806,0.25785985589027405,0.07730940729379654
7,10.0,0.3218390941619873,0.2988505959510803,0.08323424309492111,1.3218165636062622,6.273526191711426,2.007044792175293,0.23935148119926453,0.39283597469329834,0.12251012027263641,0.27584779262542725,0.2604139745235443,0.08205302059650421
8,10.0,0.3448275923728943,0.5057470798492432,0.10648699104785919,1.4521304368972778,6.28101921081543,2.0460400581359863,0.24715560674667358,0.4223770201206207,0.12913279235363007,0.29799365997314453,0.3221944570541382,0.09367954730987549
9,10.0,0.3448275923728943,0.2758620083332062,0.08904743194580078,1.2017337083816528,4.400874137878418,1.4860780239105225,0.20788028836250305,0.4166005849838257,0.11928105354309082,0.27672457695007324,0.24556198716163635,0.08677516877651215
10,20.0,0.7816091775894165,0.4597701132297516,0.14295153319835663,1.2330950498580933,4.700830459594727,1.5761950016021729,0.3434906303882599,0.41155344247817993,0.13381749391555786,0.39452216029167175,0.45261526107788086,0.13886059820652008
11,20.0,0.5057470798492432,0.5747126340866089,0.13555291295051575,1.2814576625823975,5.451614856719971,1.8041831254959106,0.34066930413246155,0.48056668043136597,0.14440388977527618,0.4144878089427948,0.4054403305053711,0.13939116895198822
12,20.0,0.5287356376647949,0.5287356376647949,0.11996299773454666,1.6226288080215454,5.768641471862793,1.812780737876892,0.35985490679740906,0.41287410259246826,0.13571511209011078,0.40158894658088684,0.3902638554573059,0.13515806198120117
13,20.0,0.5977011919021606,0.459770143032074,0.13793103396892548,1.3953114748001099,6.00659704208374,1.710492730140686,0.31966525316238403,0.456775426864624,0.1574212908744812,0.3987519443035126,0.4545179009437561,0.15013572573661804
14,20.0,0.7126436233520508,0.5747126340866089,0.1574844866991043,1.5895541906356812,4.843229293823242,1.8027551174163818,0.3281034529209137,0.4089302122592926,0.1263110190629959,0.4005630314350128,0.39418748021125793,0.13880802690982819
15,20.0,0.5287356376647949,0.4137931168079376,0.12683314085006714,1.5763198137283325,4.57690954208374,1.7203744649887085,0.36496755480766296,0.35526251792907715,0.12259697914123535,0.40253302454948425,0.4968337416648865,0.15164750814437866
16,20.0,0.6436781883239746,0.48275864124298096,0.15114282071590424,1.3492604494094849,5.864265441894531,1.4830385446548462,0.3592349588871002,0.3954145312309265,0.1418333649635315,0.40022677183151245,0.42837274074554443,0.139137864112854
17,20.0,0.6436781883239746,0.9195401668548584,0.163826122879982,1.4882375001907349,6.01185417175293,2.194852590560913,0.33660316467285156,0.5576670169830322,0.14198586344718933,0.40090665221214294,0.4205496907234192,0.14259175956249237
18,20.0,0.7126436233520508,0.5057471990585327,0.14612235128879547,1.2536243200302124,4.915386199951172,1.554198145866394,0.3370679020881653,0.37823486328125,0.15098804235458374,0.4011456072330475,0.42811620235443115,0.1433359831571579
19,20.0,0.5287356376647949,0.6666666269302368,0.1226053535938263,1.3862322568893433,5.207283973693848,1.6248551607131958,0.3588389754295349,0.5965303182601929,0.15058915317058563,0.4014188349246979,0.4061903953552246,0.13482075929641724
20,30.0,0.6666666269302368,0.48275861144065857,0.14929316937923431,1.6200042963027954,5.385811805725098,1.4938770532608032,0.41407933831214905,0.4516148567199707,0.13829044997692108,0.5010956525802612,0.4509534239768982,0.17192374169826508
21,30.0,0.8275861740112305,0.45977017283439636,0.1307966709136963,1.4785478115081787,5.023567199707031,1.6543092727661133,0.42368724942207336,0.46608439087867737,0.16249115765094757,0.5008020401000977,0.44124746322631836,0.1770997792482376
22,30.0,0.9655172824859619,0.8505746722221375,0.17545248568058014,1.1699033975601196,5.897551536560059,1.8122775554656982,0.42010870575904846,0.5570835471153259,0.15428707003593445,0.5021345615386963,0.4516567587852478,0.16902807354927063
23,30.0,0.8045977354049683,1.2643678188323975,0.15986260771751404,1.3862766027450562,5.233947277069092,1.802525281906128,0.4169587790966034,0.47490012645721436,0.14400425553321838,0.49560490250587463,0.4368298053741455,0.17721977829933167
24,30.0,0.8045977354049683,0.873563289642334,0.1569560021162033,1.3445422649383545,5.748432159423828,1.8574390411376953,0.44535502791404724,0.4888107478618622,0.13855977356433868,0.4975951611995697,0.4191763997077942,0.16421161592006683
25,30.0,0.8045977354049683,0.5517240762710571,0.16673272848129272,1.1691150665283203,6.306992530822754,1.7987909317016602,0.42513909935951233,0.3896656632423401,0.1542939394712448,0.5015443563461304,0.4519408941268921,0.17258673906326294
26,30.0,0.7126436233520508,0.5057471990585327,0.15193551778793335,1.2480987310409546,5.030651569366455,1.4929046630859375,0.4100392758846283,0.5093081593513489,0.15563145279884338,0.5038121938705444,0.4530244469642639,0.1718284785747528
27,30.0,0.6896551847457886,0.4597701132297516,0.13370326161384583,1.8358211517333984,5.6255412101745605,1.6239241361618042,0.4679233729839325,0.42876774072647095,0.14906148612499237,0.5026699304580688,0.44109249114990234,0.16758835315704346
28,30.0,0.7816091775894165,0.7586206197738647,0.16990356147289276,1.224029541015625,5.576061248779297,1.4623759984970093,0.40868082642555237,0.40228715538978577,0.13939687609672546,0.5009931325912476,0.4344828426837921,0.1656108945608139
29,30.0,1.0114942789077759,0.8735631704330444,0.18443652987480164,1.3346015214920044,5.5202226638793945,1.808127522468567,0.4285303056240082,0.4724060893058777,0.15331341326236725,0.49799659848213196,0.48130595684051514,0.17702774703502655
30,40.0,0.919540286064148,0.4827585518360138,0.12709738314151764,1.2650470733642578,5.302290916442871,1.681199550628662,0.49323520064353943,0.5954392552375793,0.1512010097503662,0.5708554983139038,0.5120713114738464,0.2053990662097931
31,40.0,0.8735631704330444,0.7126437425613403,0.15906988084316254,1.4616981744766235,4.2690019607543945,1.3227424621582031,0.49254706501960754,0.48579442501068115,0.16519170999526978,0.5826671123504639,0.5538263320922852,0.20562177896499634
32,40.0,0.9885057210922241,0.8045976758003235,0.19104240834712982,1.0664170980453491,4.505838394165039,1.6544450521469116,0.5059335231781006,0.46990710496902466,0.15760605037212372,0.5739051103591919,0.5055336952209473,0.20676258206367493
