FOT,Random,RF,PR,BC_det,BC_det,BC_det,BC_nondet,BC_nondet,BC_nondet,GAIL_det_ppo,GAIL_det_ppo,GAIL_det_ppo,GAIL_nondet_ppo,GAIL_nondet_ppo,GAIL_nondet_ppo,BCxGAIL_det_ppo,BCxGAIL_det_ppo,BCxGAIL_det_ppo,BCxGAIL_nondet_ppo,BCxGAIL_nondet_ppo,BCxGAIL_nondet_ppo,
-0.08045977354049683,-0.7589772939682007,-0.10965517349541187,-0.261251222133496,-0.13307318091392517,-0.09632152318954468,-0.29330548644065857,0.053509533405303955,0.06965316832065582,-0.3752652108669281,0.07756737619638443,-0.020226996392011642,0.08730018883943558,0.3408801853656769,0.10927601158618927,0.053094521164894104,-0.39026451110839844,-0.26742011308670044,-0.29698601365089417,-0.04449312016367912,0.04478982463479042,-0.25556156039237976,
0.01149425283074379,0.530146598815918,-0.028965517096221447,-0.3029398975605916,-0.027500730007886887,-0.09639830142259598,-0.17026260495185852,0.17966920137405396,0.059632930904626846,-0.30908092856407166,0.02403881773352623,-0.014321318827569485,0.03409021720290184,-0.2482738494873047,0.037103261798620224,0.06527811288833618,-0.33038032054901123,-0.12750577926635742,-0.1570121794939041,0.07700788974761963,0.10970130562782288,-0.09022563695907593,
0.05747126415371895,0.9969114065170288,0.015402298904955387,-0.3044812891436547,0.009109478443861008,-0.09643522650003433,-0.08641404658555984,0.27263015508651733,0.0834091380238533,-0.24214383959770203,-0.06305118650197983,-0.03304847329854965,-0.05333764851093292,0.27111518383026123,-0.044919077306985855,0.03404548019170761,-0.18517042696475983,0.0023250910453498363,-0.03658771514892578,-0.007520154118537903,0.020613599568605423,-0.026300303637981415,
-0.1034482792019844,0.5165016651153564,-0.02850574713200331,-0.2808792223804992,-0.060638219118118286,-0.09644043445587158,-0.0284899715334177,0.15893642604351044,-0.12477084994316101,0.00213053822517395,-0.14283542335033417,-0.0594809353351593,-0.13473238050937653,-0.3842129707336426,-0.130757674574852,-0.11679975688457489,-0.10525276511907578,0.06651821732521057,0.01896572858095169,-0.08844456821680069,-0.11606879532337189,-0.06511015444993973,
-0.14942528307437897,0.35016584396362305,-0.1268965518847108,-0.22454241538796144,-0.19645372033119202,-0.09643824398517609,-0.02124631404876709,0.07866838574409485,-0.24404412508010864,0.18168537318706512,-0.23296180367469788,-0.08650172501802444,-0.2301090806722641,0.1787046492099762,-0.23548124730587006,-0.2163068950176239,-0.01929507404565811,-0.021150866523385048,-0.07337992638349533,-0.29896974563598633,-0.365998238325119,-0.09171287715435028,
-0.26436781883239746,0.24010372161865234,-0.19586206912994386,-0.1335819968118626,-0.3105833828449249,-0.09642364084720612,-0.12514528632164001,-0.10416904091835022,-0.3718961179256439,0.18161115050315857,-0.3191632330417633,-0.1041795015335083,-0.31925708055496216,-0.9239025712013245,-0.3153161406517029,-0.3330908417701721,-0.001981997163966298,-0.14195516705513,-0.17836283147335052,-0.2514614462852478,-0.4203566908836365,-0.2542853355407715,
-0.3563218414783478,-0.4028046727180481,-0.3078160919249058,-0.06972338825367463,-0.3485267460346222,-0.09641362726688385,-0.22673459351062775,-0.1568393111228943,-0.37917518615722656,0.10418608784675598,-0.40620309114456177,-0.11839060485363007,-0.40804052352905273,0.12330362200737,-0.390941321849823,-0.46017980575561523,-0.06411164253950119,-0.2278236448764801,-0.27769169211387634,-0.3516949415206909,-0.45927274227142334,-0.2694222927093506,
-0.40229883790016174,-0.8544306755065918,-0.37034482568502425,-0.030422057502282385,-0.2646426856517792,-0.09639598429203033,-0.33747515082359314,-0.23769426345825195,-0.4199569523334503,0.02464054524898529,-0.3889811635017395,-0.12465434521436691,-0.3931022584438324,-0.4211697578430176,-0.3778124451637268,-0.4934372305870056,-0.19818077981472015,-0.3530013859272003,-0.3182750940322876,-0.2536700963973999,-0.3221283257007599,-0.3965936303138733,
-0.3103448152542114,-0.5650792121887207,-0.32022988572716715,-0.03274937715665893,-0.12425979226827621,-0.09639323502779007,-0.3652653694152832,-0.3103693723678589,-0.2269970029592514,-0.11716695129871368,-0.29161760210990906,-0.12781201303005219,-0.2974228858947754,-0.051863983273506165,-0.24693019688129425,-0.41795486211776733,-0.32946890592575073,-0.4131070375442505,-0.2908320724964142,-0.14286930859088898,-0.2143751084804535,-0.3285001814365387,
-0.17241379618644714,0.4140733480453491,-0.17149425305426122,-0.05694927476560363,-0.02195056341588497,-0.0963866338133812,-0.29820066690444946,-0.43656688928604126,-0.11156165599822998,-0.24007226526737213,-0.17476949095726013,-0.12627553939819336,-0.17973020672798157,-0.21862652897834778,-0.1273474246263504,-0.30210182070732117,-0.3645573556423187,-0.3340691030025482,-0.19925366342067719,0.1083504930138588,-0.08789246529340744,-0.1487564742565155,
