,controller config,fot safety,fot comfort,fot mean comfort,PR safety,PR comfort,PR mean comfort
0,10.0,0.3448275625705719,0.4827585816383362,0.09591756016016006,0.19681084945429983,0.06392571940634656,0.017399242659819514
1,10.0,0.4367816150188446,0.4597701132297516,0.08825472742319107,0.24551970628313335,0.06035201284470254,0.016912097288963885
2,10.0,0.5057471394538879,0.4597700834274292,0.10225921869277954,0.17360697284301807,0.06437087592187812,0.017438163119417892
3,10.0,0.3448275923728943,0.436781644821167,0.10199496150016785,0.23701537442587461,0.06508680862152483,0.01740735324105925
4,10.0,0.3448275923728943,0.5057470798492432,0.10040955990552902,0.177184526230052,0.059407858650596335,0.018336854694570547
5,10.0,0.39080458879470825,0.5517241358757019,0.12709736824035645,0.15505249428974005,0.06204262464522364,0.018104161778205962
6,10.0,0.4597701132297516,0.4367816150188446,0.10543004423379898,0.2991410384453584,0.11611705126668889,0.019267488867968394
7,10.0,0.2988505959510803,0.41379308700561523,0.10225921124219894,0.32537237426152865,0.06524417721674075,0.018266363253472473
8,10.0,0.27586206793785095,0.2988505959510803,0.0734575167298317,0.20137654096892205,0.0722506567679217,0.018138404206069686
9,10.0,0.39080458879470825,0.3448275923728943,0.09988108277320862,0.19214185730205224,0.06332163569405178,0.017768791781186385
10,20.0,0.5287356376647949,0.4597700834274292,0.14400845766067505,0.3479529135519958,0.13281817565870885,0.03760788635270846
11,20.0,0.6206896305084229,0.5747126340866089,0.16171224415302277,0.46993904819779775,0.23497691379727575,0.04075081395892332
12,20.0,0.5517241358757019,0.5977011322975159,0.12577620148658752,0.5141903059945456,0.14375426975736366,0.038806809364699976
13,20.0,0.6206896305084229,0.4367816746234894,0.1479719877243042,0.405634686572951,0.12375087647506006,0.037237664943665795
14,20.0,0.6206896305084229,0.41379314661026,0.12234113365411758,0.4135419081163161,0.19494953848927732,0.03756126562565143
15,20.0,0.5747126340866089,0.48275864124298096,0.1323820799589157,0.3585101870827095,0.13279680463709892,0.0390605455152309
16,20.0,0.7586207389831543,0.5977011919021606,0.16197648644447327,0.3694571734640781,0.136889209948919,0.03959594207216999
17,20.0,0.5517241358757019,0.5747126340866089,0.17016778886318207,0.3624735043313798,0.14229371323325124,0.0377940252949605
18,20.0,0.6666666269302368,0.5977011919021606,0.15087857842445374,0.5685976256695571,0.18784260657709262,0.040335868526129415
19,20.0,0.6666666269302368,0.48275864124298096,0.17043201625347137,0.3472951819147738,0.1441552162453209,0.03645105269974347
20,30.0,0.8275861740112305,0.5517240762710571,0.13370327651500702,0.5307539909075696,0.23881078294425007,0.05892326744541711
21,30.0,0.6896551847457886,0.48275867104530334,0.12815432250499725,0.682931787452966,0.25232917873683613,0.06349940680210336
22,30.0,0.7356321811676025,0.9195401072502136,0.15087857842445374,0.5641503558087441,0.28863951670379406,0.0638131562241104
23,30.0,0.7126436233520508,0.5287356376647949,0.13502445816993713,0.532666686577631,0.20791618151636898,0.05846195901131348
