,controller config,fot safety,fot comfort,fot mean comfort,GAIL_det_ppo best_loss safety,GAIL_det_ppo best_loss comfort,GAIL_det_ppo best_loss mean comfort,GAIL_det_ppo best_loss euclidean,GAIL_det_ppo best_loss dtw,GAIL_det_ppo best_eucl safety,GAIL_det_ppo best_eucl comfort,GAIL_det_ppo best_eucl mean comfort,GAIL_det_ppo best_eucl euclidean,GAIL_det_ppo best_eucl dtw,GAIL_det_ppo best_dtw safety,GAIL_det_ppo best_dtw comfort,GAIL_det_ppo best_dtw mean comfort,GAIL_det_ppo best_dtw euclidean,GAIL_det_ppo best_dtw dtw
0,10.0,0.4597701132297516,1.1494252681732178,0.1490289270877838,0.19965700805187225,0.20082928240299225,0.03943384811282158,2.040829658508301,-12.865265846252441,0.15650123357772827,0.12080308794975281,0.04011320695281029,1.8478986024856567,-13.012742042541504,0.21782523393630981,0.2083224207162857,0.06312590837478638,2.082864761352539,-12.878487586975098
1,10.0,0.3448275625705719,0.27586209774017334,0.09353944659233093,0.20425061881542206,0.20163464546203613,0.04967872053384781,1.7530605792999268,-13.66758918762207,0.16380071640014648,0.10066157579421997,0.03722556307911873,1.4872716665267944,-13.920489311218262,0.22755709290504456,0.20820723474025726,0.06101477891206741,1.871849775314331,-13.657027244567871
2,10.0,0.3448275923728943,0.29885056614875793,0.11097899079322815,0.20969319343566895,0.20060138404369354,0.039630915969610214,1.8353606462478638,-13.59592342376709,0.15622973442077637,0.12591585516929626,0.03978971391916275,1.6491131782531738,-13.71286678314209,0.21897879242897034,0.20847372710704803,0.06333288550376892,2.032850503921509,-13.434185981750488
3,10.0,0.3218390643596649,0.4137931168079376,0.11256441473960876,0.19964073598384857,0.21251779794692993,0.04096294939517975,1.6528136730194092,-13.766678810119629,0.14917239546775818,0.12481506168842316,0.0404321551322937,1.5023218393325806,-13.985103607177734,0.21710869669914246,0.22394557297229767,0.06433752924203873,1.7110567092895508,-13.5676908493042
4,10.0,0.5517241358757019,0.4367815852165222,0.10516580939292908,0.20034749805927277,0.20591849088668823,0.03815292567014694,2.1850810050964355,-13.381584167480469,0.15595629811286926,0.1261749118566513,0.03870050236582756,2.00297474861145,-13.363568305969238,0.21708351373672485,0.2083093225955963,0.06346616894006729,2.279487371444702,-12.743127822875977
5,10.0,0.2988505959510803,0.3218390941619873,0.09406790137290955,0.21860764920711517,0.24610896408557892,0.05416015535593033,1.9955143928527832,-13.450172424316406,0.1506316363811493,0.17109519243240356,0.04385753720998764,1.734818458557129,-13.75545883178711,0.22038805484771729,0.23327624797821045,0.06532680988311768,2.0643115043640137,-13.1408052444458
6,10.0,0.3218390643596649,0.3218391537666321,0.08851896226406097,0.20407167077064514,0.2015981823205948,0.04336412996053696,1.9316529035568237,-13.45440673828125,0.1403285264968872,0.10100067406892776,0.03712848573923111,1.6940795183181763,-13.91717529296875,0.21708360314369202,0.20849257707595825,0.05993644520640373,1.950587272644043,-13.927055358886719
7,10.0,0.36781609058380127,0.39080458879470825,0.13423171639442444,0.2008892148733139,0.207058385014534,0.04088204354047775,1.9453941583633423,-13.604100227355957,0.14574694633483887,0.12058956921100616,0.04055017977952957,1.747503638267517,-13.6662015914917,0.2171211540699005,0.21919749677181244,0.06423726677894592,2.1483166217803955,-13.379106521606445
8,10.0,0.2988505959510803,0.5747126340866089,0.11917030066251755,0.20627734065055847,0.21423564851284027,0.05334973707795143,1.9125821590423584,-13.521565437316895,0.18130579590797424,0.14573800563812256,0.040826138108968735,1.5480881929397583,-14.03925895690918,0.24657532572746277,0.2178647220134735,0.06428739428520203,2.0862019062042236,-13.243045806884766
9,10.0,0.3678160607814789,0.36781609058380127,0.11679217219352722,0.2325809746980667,0.19384849071502686,0.03869406506419182,1.8535479307174683,-13.584017753601074,0.16506017744541168,0.11966639757156372,0.0400332510471344,1.6791212558746338,-13.741244316101074,0.21709692478179932,0.2082519382238388,0.06241264566779137,1.755813479423523,-13.793425559997559
