,controller config,fot safety,fot comfort,fot mean comfort,Random safety,Random comfort,Random mean comfort
0,10.0,0.3218390643596649,0.34482765197753906,0.09486061334609985,1.1267822980880737,5.939672470092773,1.7120599746704102
1,10.0,0.27586206793785095,0.5977011919021606,0.11705642193555832,1.1647982597351074,5.103277206420898,1.8450931310653687
2,10.0,0.41379308700561523,0.5287356376647949,0.11705642193555832,1.1284637451171875,5.764801025390625,2.090888023376465
3,10.0,0.3218390643596649,0.36781609058380127,0.08429118990898132,1.1506811380386353,5.329884052276611,2.2049148082733154
4,10.0,0.39080461859703064,0.36781615018844604,0.11890606582164764,1.1490532159805298,5.197071075439453,2.3489081859588623
5,10.0,0.3218390941619873,0.6436781883239746,0.11732064932584763,1.15427565574646,6.1097869873046875,2.0355992317199707
6,10.0,0.39080461859703064,0.39080455899238586,0.1075439304113388,1.1477011442184448,6.288868427276611,2.4061920642852783
7,10.0,0.3218390941619873,0.2988505959510803,0.08323424309492111,1.1487531661987305,5.237405776977539,2.148284912109375
8,10.0,0.3448275923728943,0.5057470798492432,0.10648699104785919,1.1344671249389648,6.326817512512207,2.0755562782287598
9,10.0,0.3448275923728943,0.2758620083332062,0.08904743194580078,1.1630910634994507,6.308025360107422,1.947724461555481
10,20.0,0.7816091775894165,0.4597701132297516,0.14295153319835663,1.1624449491500854,5.624143600463867,2.3531250953674316
11,20.0,0.5057470798492432,0.5747126340866089,0.13555291295051575,1.143947720527649,5.733349800109863,2.0661444664001465
12,20.0,0.5287356376647949,0.5287356376647949,0.11996299773454666,1.1104754209518433,7.101395130157471,2.615105628967285
13,20.0,0.5977011919021606,0.459770143032074,0.13793103396892548,1.12054443359375,5.847517967224121,2.024467706680298
14,20.0,0.7126436233520508,0.5747126340866089,0.1574844866991043,1.146435260772705,6.973681449890137,2.4858880043029785
15,20.0,0.5287356376647949,0.4137931168079376,0.12683314085006714,1.1648523807525635,6.762886047363281,2.054804563522339
16,20.0,0.6436781883239746,0.48275864124298096,0.15114282071590424,1.1703077554702759,6.055600166320801,2.2338342666625977
17,20.0,0.6436781883239746,0.9195401668548584,0.163826122879982,1.1397936344146729,5.833452224731445,1.980448603630066
18,20.0,0.7126436233520508,0.5057471990585327,0.14612235128879547,1.163492202758789,5.813694953918457,1.8727245330810547
19,20.0,0.5287356376647949,0.6666666269302368,0.1226053535938263,1.1640398502349854,6.674715042114258,2.3270621299743652
20,30.0,0.6666666269302368,0.48275861144065857,0.14929316937923431,1.127413272857666,6.86224889755249,2.288729429244995
21,30.0,0.8275861740112305,0.45977017283439636,0.1307966709136963,1.111426591873169,6.776437282562256,2.2963240146636963
22,30.0,0.9655172824859619,0.8505746722221375,0.17545248568058014,1.1581406593322754,5.440690994262695,1.8321378231048584
23,30.0,0.8045977354049683,1.2643678188323975,0.15986260771751404,1.162837266921997,6.207759857177734,2.2628142833709717
24,30.0,0.8045977354049683,0.873563289642334,0.1569560021162033,1.171667456626892,6.226297378540039,1.9583791494369507
25,30.0,0.8045977354049683,0.5517240762710571,0.16673272848129272,1.1295620203018188,5.55996036529541,2.2767581939697266
26,30.0,0.7126436233520508,0.5057471990585327,0.15193551778793335,1.1714885234832764,6.545917987823486,2.254976749420166
27,30.0,0.6896551847457886,0.4597701132297516,0.13370326161384583,1.1488608121871948,6.088181495666504,2.200444221496582
28,30.0,0.7816091775894165,0.7586206197738647,0.16990356147289276,1.1665962934494019,6.446530342102051,2.377309560775757
29,30.0,1.0114942789077759,0.8735631704330444,0.18443652987480164,1.1690231561660767,5.840113639831543,2.028179407119751
30,40.0,0.919540286064148,0.4827585518360138,0.12709738314151764,1.1713919639587402,6.058465003967285,2.222080945968628
31,40.0,0.8735631704330444,0.7126437425613403,0.15906988084316254,1.1598232984542847,6.3967695236206055,2.1530115604400635
32,40.0,0.9885057210922241,0.8045976758003235,0.19104240834712982,1.1136791706085205,4.671916961669922,2.259953022003174
33,40.0,0.8275861740112305,0.9195401668548584,0.18628618121147156,1.1395806074142456,6.617734909057617,2.107997417449951
34,40.0,0.9425287246704102,1.1494252681732178,0.1823226362466812,1.1637362241744995,4.924734592437744,1.9175071716308594
35,40.0,0.9655172824859619,0.8275861740112305,0.1976483017206192,1.1713403463363647,6.099287509918213,2.122713088989258
36,40.0,0.7816091775894165,0.7126436233520508,0.17598097026348114,1.1649222373962402,5.624838352203369,1.9682010412216187
37,40.0,0.7586207389831543,0.5517240762710571,0.12868277728557587,1.1632184982299805,7.099857330322266,2.1469502449035645
38,40.0,0.7816091775894165,0.9425287246704102,0.20398996770381927,1.1681101322174072,5.837926387786865,1.9947975873947144
39,40.0,0.9425287246704102,1.218390941619873,0.25260934233665466,1.1659332513809204,6.662054538726807,2.244414806365967
40,50.0,0.8275861740112305,0.9425287246704102,0.1640903651714325,1.1614770889282227,5.52855110168457,2.1845815181732178
