,controller config,fot safety,fot comfort,fot mean comfort,BCxGAIL_nondet_ppo best_loss safety,BCxGAIL_nondet_ppo best_loss comfort,BCxGAIL_nondet_ppo best_loss mean comfort,BCxGAIL_nondet_ppo best_eucl safety,BCxGAIL_nondet_ppo best_eucl comfort,BCxGAIL_nondet_ppo best_eucl mean comfort,BCxGAIL_nondet_ppo best_dtw safety,BCxGAIL_nondet_ppo best_dtw comfort,BCxGAIL_nondet_ppo best_dtw mean comfort
0,10.0,0.3218390643596649,0.34482765197753906,0.09486061334609985,0.6083129644393921,2.104464530944824,0.6994847059249878,0.33378928899765015,0.7059153914451599,0.23030826449394226,0.40397992730140686,0.7148725986480713,0.24168220162391663
1,10.0,0.27586206793785095,0.5977011919021606,0.11705642193555832,0.7977442741394043,2.2627549171447754,0.7170754075050354,0.31600603461265564,0.9346084594726562,0.24041412770748138,0.37120333313941956,0.9953822493553162,0.2714800238609314
2,10.0,0.41379308700561523,0.5287356376647949,0.11705642193555832,0.6409604549407959,2.6445131301879883,0.8006158471107483,0.3386642634868622,0.9321861267089844,0.2798452377319336,0.38198840618133545,0.8725870847702026,0.23139581084251404
3,10.0,0.3218390643596649,0.36781609058380127,0.08429118990898132,0.6526747941970825,3.4951982498168945,0.9211995601654053,0.3126485347747803,0.6358202695846558,0.22737741470336914,0.35011836886405945,1.5458499193191528,0.39999717473983765
4,10.0,0.39080461859703064,0.36781615018844604,0.11890606582164764,0.621064305305481,2.925326347351074,0.7963582873344421,0.28766781091690063,0.7067826986312866,0.20817342400550842,0.3669785261154175,1.2485296726226807,0.34678536653518677
5,10.0,0.3218390941619873,0.6436781883239746,0.11732064932584763,0.6997778415679932,2.47714900970459,0.8985574841499329,0.37411144375801086,0.6554172039031982,0.24613654613494873,0.3832067549228668,1.0176703929901123,0.309491902589798
6,10.0,0.39080461859703064,0.39080455899238586,0.1075439304113388,0.5052661895751953,1.8846681118011475,0.5724547505378723,0.2942274212837219,0.6108715534210205,0.2233509123325348,0.4445701539516449,0.9976332783699036,0.29639124870300293
7,10.0,0.3218390941619873,0.2988505959510803,0.08323424309492111,0.7072525024414062,2.2590713500976562,0.6401222348213196,0.3522127866744995,0.8290262222290039,0.23762652277946472,0.43383684754371643,1.2599828243255615,0.3501567840576172
8,10.0,0.3448275923728943,0.5057470798492432,0.10648699104785919,0.6798795461654663,1.814537525177002,0.6175885200500488,0.34931138157844543,0.9331054091453552,0.25251975655555725,0.4315287172794342,0.8198310136795044,0.3083629906177521
9,10.0,0.3448275923728943,0.2758620083332062,0.08904743194580078,0.5888439416885376,2.758805274963379,0.7288625240325928,0.31014755368232727,0.9169121980667114,0.2478611320257187,0.38251933455467224,0.9758466482162476,0.32572898268699646
10,20.0,0.7816091775894165,0.4597701132297516,0.14295153319835663,0.6644471883773804,2.2543530464172363,0.5790178179740906,0.549111008644104,0.6160602569580078,0.2318975329399109,0.5215052366256714,0.7536729574203491,0.24317821860313416
11,20.0,0.5057470798492432,0.5747126340866089,0.13555291295051575,0.7452112436294556,1.783091425895691,0.5351410508155823,0.49723777174949646,0.6898384094238281,0.1881556212902069,0.5751088857650757,1.0133031606674194,0.28822916746139526
12,20.0,0.5287356376647949,0.5287356376647949,0.11996299773454666,0.7466888427734375,1.6175646781921387,0.5998079180717468,0.4856254756450653,0.6558645963668823,0.23023070394992828,0.5618522763252258,0.692846417427063,0.25740236043930054
13,20.0,0.5977011919021606,0.459770143032074,0.13793103396892548,0.7461568117141724,2.4414093494415283,0.6469040513038635,0.592069149017334,1.1301276683807373,0.2827316224575043,0.5416243076324463,0.7501772046089172,0.22975115478038788
14,20.0,0.7126436233520508,0.5747126340866089,0.1574844866991043,0.6703710556030273,2.013460397720337,0.6638966798782349,0.4897468388080597,0.8857580423355103,0.27799323201179504,0.5594601035118103,0.7530597448348999,0.2666500508785248
15,20.0,0.5287356376647949,0.4137931168079376,0.12683314085006714,0.761130690574646,1.76649010181427,0.5992649793624878,0.5585042238235474,1.0918231010437012,0.3075298070907593,0.5440350770950317,0.8590521812438965,0.24839796125888824
16,20.0,0.6436781883239746,0.48275864124298096,0.15114282071590424,0.6957911252975464,1.7937990427017212,0.5923638343811035,0.5290156602859497,0.8412127494812012,0.235660120844841,0.5420011281967163,1.0380420684814453,0.3141528367996216
17,20.0,0.6436781883239746,0.9195401668548584,0.163826122879982,0.7414449453353882,2.35184383392334,0.710450291633606,0.5125972032546997,0.7871890068054199,0.24215637147426605,0.5664047002792358,0.7859286069869995,0.23107104003429413
18,20.0,0.7126436233520508,0.5057471990585327,0.14612235128879547,0.8434171676635742,2.5184719562530518,0.6145125031471252,0.502733588218689,0.7478653192520142,0.2225528508424759,0.5235841274261475,0.88181471824646,0.29658043384552
19,20.0,0.5287356376647949,0.6666666269302368,0.1226053535938263,0.9150067567825317,2.763059377670288,0.7205575108528137,0.5525165796279907,0.8207022547721863,0.2553892135620117,0.5554332733154297,0.6886374950408936,0.24999921023845673
