,config1_kld,config2_kld,config3_kld,config4_kld,config5_kld
Random,551.9474182922977,80.25814537845758,320.52035077727226,110.89181759514992,51.968104977924654,
PR,6302626.036096329,864151813007.3453,10559623580045.941,7.038759863167112,11109.481284077694,
RF,56919.713283868754,33702681050397.81,267414.4391218067,4026.044340172597,129520.18825792914,
BC_det_best_loss,512.0206258489059,1892116415649.7742,61518.67914420914,7244314758.063653,4.8902347510271546e+30,
BC_det_best_eucl,512.0206258489059,1892116415649.7742,61518.67914420914,7244314758.063653,4.8902347510271546e+30,
BC_det_best_dtw,512.0206258489059,1892116415649.7742,61518.67914420914,7244314758.063653,4.8902347510271546e+30,
BC_nondet_best_loss,22.235882336414523,16.27132037866375,10.551721566897427,4.697622070163042,6.1136919495377455,
BC_nondet_best_eucl,56.19058352028182,24.94081993410004,18.294968548563638,8.31817193577022,5.98068128205243,
BC_nondet_best_dtw,54.68736257175646,36.504495484602266,17.826620443828823,7.7856653845801445,7.112918953798115,
GAIL_det_ppo_best_loss,8278642.438091406,412878819.0737395,1.132038251257059e+31,6876412352.193417,35677764575.08129,
GAIL_det_ppo_best_eucl,8278642.438091406,412878819.0737395,1.132038251257059e+31,6876412352.193417,35677764575.08129,
GAIL_det_ppo_best_dtw,19485503970482.73,1.3182555705983434e+30,6.627752825759987e+29,9.686312541022812e+30,12844336698498.264,
GAIL_nondet_ppo_best_loss,53.51155458288223,53.17576694215413,55.89261021874161,41.29757895684377,43.46527896022912,
GAIL_nondet_ppo_best_eucl,55937.60928340169,16143.384866825652,1427.5285484924007,17812.36313075462,21071.96853333891,
GAIL_nondet_ppo_best_dtw,64219.9370767747,9990.930476731835,2299.213140820713,24316.451486647344,14751.352130135892,
BCxGAIL_det_ppo_best_loss,249011145618.21863,4.509625504353814e+29,16845634.68812894,128436.60215907937,307372001.0492546,
BCxGAIL_det_ppo_best_eucl,249011145618.21863,4.509625504353814e+29,16845634.68812894,128436.60215907937,307372001.0492546,
BCxGAIL_det_ppo_best_dtw,249011145618.21863,4.509625504353814e+29,16845634.68812894,128436.60215907937,307372001.0492546,
BCxGAIL_nondet_ppo_best_loss,9.927813355553484,60.81737205437574,25.67035162659748,4.630728601469332,5.062094910412673,
BCxGAIL_nondet_ppo_best_eucl,10.445360679314625,56.89215576894308,15.58710887064618,9.12217865072052,26.321193693170663,
BCxGAIL_nondet_ppo_best_dtw,19.761851919700067,56.33697315919758,17.16564743696471,13.716016803741889,12.019237566599834,
