time,color,angle
107577,64,50
107618,72,50
107660,74,50
107706,75,50
107746,74,50
107787,76,50
107828,75,50
107869,71,50
107909,49,50
107950,20,-50
107994,9,-50
108035,5,-50
108076,5,-50
108116,5,-50
108156,36,-50
108196,69,50
108236,75,50
108277,77,50
108317,79,50
108358,77,50
108398,77,50
108438,76,50
108480,72,50
108524,51,50
108566,18,-50
108606,8,-50
108646,5,-50
108688,5,-50
108728,12,-50
108772,44,50
108812,66,50
108854,78,50
108895,72,50
108935,72,50
108976,71,50
109022,51,50
109065,24,-50
109106,10,-50
109153,5,-50
109196,5,-50
109236,8,-50
109276,31,-50
109316,65,50
109356,71,50
109397,72,50
109437,72,50
109478,71,50
109518,71,50
109560,71,50
109607,56,50
109647,29,-50
109688,13,-50
109735,6,-50
109776,5,-50
109817,14,-50
109858,30,-50
109899,52,50
109940,61,50
109981,66,50
110025,66,50
110066,66,50
110106,63,50
110148,58,50
110192,44,50
110235,28,-50
110276,18,-50
110317,7,-50
110358,5,-50
110399,10,-50
110440,34,-50
110480,55,50
110524,64,50
110565,67,50
110605,67,50
110646,66,50
110686,61,50
110727,51,50
110768,30,-50
110808,15,-50
110848,9,-50
110888,5,-50
110928,6,-50
110968,27,-50
111008,43,50
111048,54,50
111088,62,50
111128,64,50
111168,61,50
111208,58,50
111249,41,50
111289,20,-50
111330,9,-50
111370,4,-50
111415,4,-50
111455,4,-50
111496,7,-50
111536,34,-50
111576,50,50
111617,62,50
111658,67,50
