time,color,angle
57717,18,-20
57758,18,-20
57798,34,-20
57838,43,20
57879,53,20
57919,61,20
57960,57,20
58000,43,20
58040,32,-20
58080,21,-20
58120,15,-20
58161,16,-20
58205,30,-20
58246,44,20
58286,52,20
58327,59,20
58368,56,20
58408,44,20
58448,33,-20
58490,27,-20
58530,22,-20
58570,23,-20
58610,40,0
58651,47,20
58700,49,20
58741,44,20
58781,34,-20
58825,25,-20
58866,19,-20
58906,23,-20
58947,35,-20
58987,49,20
59027,59,20
59068,69,20
59108,68,20
59149,62,20
59190,51,20
59235,37,-20
59277,24,-20
59320,16,-20
59360,19,-20
59400,33,-20
59445,44,20
59487,57,20
59528,64,20
59568,54,20
59608,32,-20
59648,22,-20
59689,18,-20
59735,28,-20
59776,48,20
59816,60,20
59856,66,20
59897,59,20
59941,42,20
59985,26,-20
60026,16,-20
60067,11,-20
60107,15,-20
60147,24,-20
60188,43,20
60229,57,20
60270,66,20
60314,61,20
60356,45,20
60397,35,-20
60437,23,-20
60478,18,-20
60518,21,-20
60559,34,-20
60599,43,20
60639,52,20
60679,60,20
60720,55,20
60767,38,-20
60808,26,-20
60849,20,-20
60890,26,-20
60930,36,-20
60970,45,20
61011,57,20
61051,62,20
61095,61,20
61136,51,20
61176,44,20
61216,35,-20
61256,25,-20
61299,17,-20
61340,19,-20
61384,26,-20
61427,36,-20
61467,44,20
61507,49,20
61554,58,20
61596,52,20
61636,45,20
61677,34,-20
61718,28,-20
61759,23,-20
61799,28,-20
