time,color,angle
190332,16,-40
190372,10,-40
190413,18,-40
190458,49,40
190499,63,40
190543,67,40
190588,67,40
190628,63,40
190669,53,40
190710,48,40
190750,35,-40
190791,19,-40
190831,10,-40
190871,8,-40
190911,16,-40
190953,38,-40
190993,54,40
191037,62,40
191078,66,40
191118,66,40
191158,65,40
191199,65,40
191239,63,40
191281,60,40
191322,46,40
191362,31,-40
191402,17,-40
191442,11,-40
191483,5,-40
191527,12,-40
191568,28,-40
191608,44,40
191649,52,40
191689,60,40
191730,62,40
191771,61,40
191812,58,40
191852,50,40
191893,37,-40
191933,15,-40
191973,11,-40
192017,8,-40
192058,12,-40
192099,34,-40
192139,50,40
192181,61,40
192222,66,40
192262,67,40
192306,64,40
192348,59,40
192388,49,40
192429,41,40
192469,26,-40
192511,10,-40
192552,7,-40
192592,6,-40
192632,7,-40
192672,22,-40
192712,37,-40
192753,52,40
192797,62,40
192838,69,40
192879,69,40
192922,67,40
192968,60,40
193009,49,40
193050,32,-40
193091,14,-40
193132,8,-40
193172,6,-40
193217,13,-40
193258,29,-40
193298,45,40
193339,59,40
193380,66,40
193421,70,40
193462,64,40
193504,56,40
193548,40,0
193588,22,-40
193629,16,-40
193669,11,-40
193709,10,-40
193758,26,-40
193799,48,40
193839,58,40
193879,69,40
193925,71,40
193966,70,40
194009,62,40
194049,37,-40
194090,23,-40
194131,12,-40
194172,10,-40
194213,14,-40
194257,37,-40
194300,61,40
194341,68,40
194383,73,40
194427,73,40
