time,color,angle
252176,51,30
252216,53,30
252257,56,30
252298,65,30
252339,66,30
252384,52,30
252425,45,30
252466,33,-30
252507,22,-30
252548,17,-30
252589,17,-30
252633,24,-30
252674,35,-30
252715,51,30
252755,57,30
252805,65,30
252845,65,30
252885,56,30
252928,40,0
252973,31,-30
253014,18,-30
253055,16,-30
253095,24,-30
253135,43,30
253175,53,30
253215,63,30
253259,62,30
253299,56,30
253339,43,30
253379,27,-30
253424,17,-30
253465,10,-30
253505,9,-30
253545,9,-30
253586,21,-30
253626,30,-30
253666,44,30
253707,55,30
253747,61,30
253788,60,30
253831,49,30
253874,34,-30
253915,21,-30
253955,13,-30
253995,15,-30
254035,27,-30
254075,43,30
254116,56,30
254157,62,30
254197,65,30
254237,54,30
254277,38,-30
254317,23,-30
254358,18,-30
254399,14,-30
254439,22,-30
254480,44,30
254521,56,30
254564,62,30
254605,63,30
254645,51,30
254686,33,-30
254727,18,-30
254768,13,-30
254812,14,-30
254854,24,-30
254899,38,-30
254944,49,30
254985,59,30
255025,65,30
255065,68,30
255105,62,30
255146,51,30
255187,35,-30
255228,21,-30
255269,13,-30
255313,14,-30
255355,33,-30
255395,49,30
255436,64,30
255477,70,30
255518,67,30
255558,64,30
255598,48,30
255638,37,-30
255678,21,-30
255721,12,-30
255764,11,-30
255805,23,-30
255847,39,-30
255888,49,30
255928,58,30
255969,63,30
256009,64,30
256050,60,30
256094,54,30
256134,43,30
256175,29,-30
256215,19,-30
256261,8,-30
