time,color,angle
322966,9,-50
323006,12,-50
323046,28,-50
323086,44,50
323126,54,50
323166,60,50
323207,61,50
323248,61,50
323289,60,50
323329,51,50
323370,30,-50
323410,15,-50
323450,7,-50
323494,6,-50
323536,9,-50
323576,28,-50
323618,43,50
323658,54,50
323698,60,50
323738,61,50
323778,58,50
323818,43,50
323858,23,-50
323898,8,-50
323940,4,-50
323980,4,-50
324024,4,-50
324065,5,-50
324106,32,-50
324146,53,50
324186,64,50
324227,69,50
324267,71,50
324308,70,50
324350,68,50
324395,52,50
324435,29,-50
324476,9,-50
324516,4,-50
324556,5,-50
324598,5,-50
324638,13,-50
324678,38,-50
324719,54,50
324762,70,50
324805,74,50
324846,76,50
324895,74,50
324936,66,50
324976,50,50
325016,28,-50
325056,12,-50
325097,5,-50
325144,5,-50
325184,6,-50
325225,16,-50
325268,42,50
325311,62,50
325355,73,50
325395,73,50
325435,70,50
325476,56,50
325518,33,-50
325558,17,-50
325599,11,-50
325639,10,-50
325680,14,-50
325724,17,-50
325765,38,-50
325806,58,50
325848,69,50
325891,73,50
325935,72,50
325976,73,50
326016,73,50
326057,68,50
326098,47,50
326138,20,-50
326179,9,-50
326220,5,-50
326264,5,-50
326305,5,-50
326349,8,-50
326389,27,-50
326433,54,50
326475,70,50
326516,75,50
326556,75,50
326596,73,50
326637,71,50
326678,55,50
326719,26,-50
326760,9,-50
326804,5,-50
326845,5,-50
326885,5,-50
326925,10,-50
326968,42,50
327009,62,50
327049,67,50
