,config1_kld,config2_kld,config3_kld,config4_kld,config5_kld
Random,212.45800061102395,396.4384686265396,65.61577482089886,165.9652245152903,54.69422878869418,
PR,71568360.6356417,83119612.5672473,24862176625.542927,246279288417.64905,3.9533511871195857,
RF,20843.00643779526,29.083294867281978,7.488600782390378,1.6483887096905768e+30,2200.483392998015,
BC_det_best_loss,779.6694788285668,601.3906477857287,6046008320.055456,87934839.86108524,96976791771.78609,
BC_det_best_eucl,396364544.40845424,7628088.152417942,387614109.2381557,53359143.92305512,133369129.67640567,
BC_det_best_dtw,396364544.40845424,7628088.152417942,387614109.2381557,53359143.92305512,133369129.67640567,
BC_nondet_best_loss,50.10884241889729,63.04501595153885,18.030317531065865,28.25988267370927,8.566973973670173,
BC_nondet_best_eucl,16.7905487270296,26.150643340149113,13.717893964812657,20.797707514832723,28.719608917841875,
BC_nondet_best_dtw,17.32324477735488,13.073629261419958,11.053029463157106,16.292658073046688,35.241873589968144,
GAIL_det_ppo_best_loss,597.8631407621102,96579849.8516932,146174481.26061976,53273206504067.96,1082114843.6962783,
GAIL_det_ppo_best_eucl,57778.594952014,896899.2757952757,172534611065.06918,60252766460.75046,4551927126.768452,
GAIL_det_ppo_best_dtw,135364.7056215293,155103.5169232449,195465584.1075388,555834048.4708072,9218007182.03147,
GAIL_nondet_ppo_best_loss,37.08982473217524,30.351452029579185,40.467469826077064,25.80061501242215,13.3046509309217,
GAIL_nondet_ppo_best_eucl,49908.753227437504,10235.106912615161,44390.0819482805,63305.386772581536,194747.32230768263,
GAIL_nondet_ppo_best_dtw,180129.02009163672,1827.171846314264,57959.227024748485,84821.18749000065,173625.84786386424,
BCxGAIL_det_ppo_best_loss,291585713370.02783,45264068.67283957,56645451.46772522,2113246440.381428,75500098.30059287,
BCxGAIL_det_ppo_best_eucl,19861388.607399028,6.645769591226514e+29,2503964.085559817,275881591865.7615,82298863374.39539,
BCxGAIL_det_ppo_best_dtw,19861388.607399028,6.645769591226514e+29,2503964.085559817,275881591865.7615,82298863374.39539,
BCxGAIL_nondet_ppo_best_loss,13.508476958873974,50.96960530308013,13.463972673360212,21.65150743414395,13.001651792999285,
BCxGAIL_nondet_ppo_best_eucl,13.97710001599395,49.840919951580815,18.772556418943168,13.3806496964411,25.90160769039329,
BCxGAIL_nondet_ppo_best_dtw,19.7299564156246,60.84608512235119,20.79396796635799,12.024543228951151,32.56641337751528,
