,controller config,fot safety,fot comfort,fot mean comfort,GAIL_nondet_ppo best_loss safety,GAIL_nondet_ppo best_loss comfort,GAIL_nondet_ppo best_loss mean comfort,GAIL_nondet_ppo best_loss euclidean,GAIL_nondet_ppo best_loss dtw,GAIL_nondet_ppo best_eucl safety,GAIL_nondet_ppo best_eucl comfort,GAIL_nondet_ppo best_eucl mean comfort,GAIL_nondet_ppo best_eucl euclidean,GAIL_nondet_ppo best_eucl dtw,GAIL_nondet_ppo best_dtw safety,GAIL_nondet_ppo best_dtw comfort,GAIL_nondet_ppo best_dtw mean comfort,GAIL_nondet_ppo best_dtw euclidean,GAIL_nondet_ppo best_dtw dtw
0,10.0,0.4597701132297516,1.1494252681732178,0.1490289270877838,1.4524736404418945,5.574663162231445,1.8156466484069824,5.11415433883667,9.120524406433105,0.10963785648345947,0.18198080360889435,0.05471406131982803,1.598632574081421,-12.94312858581543,0.23075973987579346,0.10941863059997559,0.038208384066820145,1.8121941089630127,-12.506274223327637
1,10.0,0.3448275625705719,0.27586209774017334,0.09353944659233093,1.1177211999893188,4.419711112976074,1.521186351776123,4.932850360870361,5.297575950622559,0.13637569546699524,0.17271527647972107,0.0450589619576931,1.5924352407455444,-13.629237174987793,0.23994967341423035,0.1584189236164093,0.04627850279211998,1.4248096942901611,-13.502495765686035
2,10.0,0.3448275923728943,0.29885056614875793,0.11097899079322815,1.42226243019104,5.231904983520508,1.9412213563919067,5.346131801605225,11.453639030456543,0.10425356030464172,0.18263381719589233,0.0505436547100544,1.4527889490127563,-13.414249420166016,0.2123408019542694,0.10302922874689102,0.03946596384048462,1.645287036895752,-12.899148941040039
3,10.0,0.3218390643596649,0.4137931168079376,0.11256441473960876,1.239822506904602,5.349776744842529,1.6210654973983765,4.474844455718994,2.602004289627075,0.1063346266746521,0.14954553544521332,0.04436768963932991,1.5004593133926392,-13.876849174499512,0.09212061762809753,0.10932207107543945,0.03716672211885452,1.4884583950042725,-13.365248680114746
4,10.0,0.5517241358757019,0.4367815852165222,0.10516580939292908,1.5339385271072388,6.0792741775512695,1.776749849319458,4.907502174377441,6.960841178894043,0.10165926814079285,0.15936467051506042,0.04626183211803436,1.7687643766403198,-12.87017822265625,0.22098636627197266,0.11485239863395691,0.03266812488436699,1.869301438331604,-12.008767127990723
5,10.0,0.2988505959510803,0.3218390941619873,0.09406790137290955,1.2556284666061401,5.596741199493408,2.122840166091919,4.64302396774292,6.167820930480957,0.11737167835235596,0.17741158604621887,0.047373879700899124,1.441157341003418,-13.87726879119873,0.23086494207382202,0.1907985359430313,0.04958243668079376,1.529096245765686,-13.350174903869629
6,10.0,0.3218390643596649,0.3218391537666321,0.08851896226406097,1.2970695495605469,5.592042922973633,2.312208414077759,5.25911808013916,9.101458549499512,0.10423329472541809,0.16628003120422363,0.04663567245006561,1.4166065454483032,-14.216150283813477,0.22351905703544617,0.13475172221660614,0.03834822028875351,1.3850151300430298,-14.049849510192871
7,10.0,0.36781609058380127,0.39080458879470825,0.13423171639442444,1.3099197149276733,5.348031520843506,1.5905712842941284,4.445246696472168,2.991641044616699,0.09449276328086853,0.20301610231399536,0.05510735884308815,1.6254549026489258,-13.263287544250488,0.09291073679924011,0.12766015529632568,0.04193107411265373,1.6853605508804321,-12.590404510498047
8,10.0,0.2988505959510803,0.5747126340866089,0.11917030066251755,1.5785768032073975,5.4445600509643555,1.7478879690170288,5.028335094451904,8.514119148254395,0.12420299649238586,0.1542033851146698,0.043494053184986115,1.2279902696609497,-14.17940902709961,0.2576937973499298,0.12016841769218445,0.046318985521793365,1.417269229888916,-13.670906066894531
9,10.0,0.3678160607814789,0.36781609058380127,0.11679217219352722,1.261572241783142,5.645482063293457,1.432170033454895,4.62775182723999,2.3392789363861084,0.09467792510986328,0.1927042156457901,0.04605849087238312,1.578429102897644,-13.443426132202148,0.09053248167037964,0.14493165910243988,0.046842750161886215,1.530483603477478,-13.11998176574707
