,controller config,fot safety,fot comfort,fot mean comfort,PR safety,PR comfort,PR mean comfort,PR euclidean,PR dtw
0,10.0,0.4597701132297516,1.1494252681732178,0.1490289270877838,0.22879760244238045,0.08377015593574669,0.0206795344072191,1.7099535576737133,-12.986777640396152
1,10.0,0.3448275625705719,0.27586209774017334,0.09353944659233093,0.2045126737088588,0.07125849725209715,0.020361089921567932,1.6401681913375425,-13.68454723097529
2,10.0,0.3448275923728943,0.29885056614875793,0.11097899079322815,0.2572334462240204,0.07162406030108685,0.01822826326558486,1.6405193950244756,-13.634132666895743
3,10.0,0.3218390643596649,0.4137931168079376,0.11256441473960876,0.19817219830799654,0.07224250058655689,0.01845393268489684,1.7582063732934259,-13.697571647683
4,10.0,0.5517241358757019,0.4367815852165222,0.10516580939292908,0.19697269288761007,0.07099269755280727,0.01936635429868766,2.139035268625979,-13.199648664844403
5,10.0,0.2988505959510803,0.3218390941619873,0.09406790137290955,0.27628441615528465,0.09967935991828458,0.020637065324221077,1.834344199882441,-13.52363423377392
6,10.0,0.3218390643596649,0.3218391537666321,0.08851896226406097,0.1989829425844093,0.07254321882776389,0.017766949219134114,1.7975892770444177,-13.55144860239997
7,10.0,0.36781609058380127,0.39080458879470825,0.13423171639442444,0.19220674586215486,0.07222013412205242,0.01927973330319257,1.7927659252986183,-13.571452743826333
8,10.0,0.2988505959510803,0.5747126340866089,0.11917030066251755,0.22135704025635167,0.07676167573641415,0.019986103408767893,1.6355631630767173,-13.787733573549174
9,10.0,0.3678160607814789,0.36781609058380127,0.11679217219352722,0.2012501734875682,0.07546536398913484,0.018504977701178066,1.8855625494771224,-13.591563703761958
10,20.0,0.5287356376647949,0.3448275923728943,0.11414981633424759,0.351837935194552,0.146899111894768,0.04160704266416252,2.255380692955923,-11.287667117440725
11,20.0,0.5977011919021606,0.6436781883239746,0.12551195919513702,0.3515739284782531,0.14564130088344174,0.03711338670888232,3.253569896863759,-9.046869416967713
12,20.0,0.6206896305084229,0.3908046782016754,0.14427269995212555,0.3545032744707911,0.15004712224645567,0.03832687889146062,3.2975793538768636,-9.656357951652911
13,20.0,0.5747126340866089,0.7586207389831543,0.18443651497364044,0.36163400647600746,0.1476886436538078,0.03925707600699056,3.774913051765516,-8.885828914003106
14,20.0,0.5287356376647949,0.5977011919021606,0.1479720026254654,0.3436320232042067,0.1474554032298387,0.038160406490376865,2.823636822457959,-10.798923802954791
15,20.0,0.6206896305084229,0.5517241954803467,0.1490289270877838,0.39587722907324924,0.15051858997678602,0.037251584438133485,3.3882528081123975,-9.062864862880241
16,20.0,0.6896551847457886,0.45977020263671875,0.15140704810619354,0.34887755518161945,0.1502108074011102,0.03894440321516263,4.072552417478334,-7.494612056808215
17,20.0,0.5977011919021606,0.41379308700561523,0.14083760976791382,0.5651205305604314,0.15204411228768078,0.04155192323845443,3.301423762253001,-9.50235312855862
