,controller config,fot safety,fot comfort,fot mean comfort,RF safety,RF comfort,RF mean comfort
0,10.0,0.3448275625705719,0.4827585816383362,0.09591756016016006,0.18022988499110104,0.15517240170389415,0.0520914248646847
1,10.0,0.4367816150188446,0.4597701132297516,0.08825472742319107,0.26643678228402967,0.20091954436153175,0.06115207000068207
2,10.0,0.5057471394538879,0.4597700834274292,0.10225921869277954,0.26643678228402967,0.15839080840349196,0.05324349481184249
3,10.0,0.3448275923728943,0.436781644821167,0.10199496150016785,0.26643678228402967,0.20413793195039032,0.06421456176145322
4,10.0,0.3448275923728943,0.5057470798492432,0.10040955990552902,0.26643678228402967,0.19839079689234498,0.06601664962396882
5,10.0,0.39080458879470825,0.5517241358757019,0.12709736824035645,0.28091953645492435,0.19839079689234498,0.06439424203987093
6,10.0,0.4597701132297516,0.4367816150188446,0.10543004423379898,0.26643678228402967,0.1970114864036441,0.06433611009740965
7,10.0,0.2988505959510803,0.41379308700561523,0.10225921124219894,0.29241379429554104,0.20091954436153175,0.061535211248730105
8,10.0,0.27586206793785095,0.2988505959510803,0.0734575167298317,0.18505747114276053,0.2611494139581919,0.05986259740916477
9,10.0,0.39080458879470825,0.3448275923728943,0.09988108277320862,0.26643678228402967,0.20091954436153175,0.061263049086448786
10,20.0,0.5287356376647949,0.4597700834274292,0.14400845766067505,0.3119540231019772,0.19724138896912333,0.06091954226851805
11,20.0,0.6206896305084229,0.5747126340866089,0.16171224415302277,0.3459770084455096,0.200229893438518,0.056792179604713944
12,20.0,0.5517241358757019,0.5977011322975159,0.12577620148658752,0.31655172427152756,0.20091954436153175,0.06139516668758172
13,20.0,0.6206896305084229,0.4367816746234894,0.1479719877243042,0.338390807612189,0.2567816146835684,0.0660457152098246
14,20.0,0.6206896305084229,0.41379314661026,0.12234113365411758,0.26643678228402967,0.18022988729178901,0.05506143620387575
15,20.0,0.5747126340866089,0.48275864124298096,0.1323820799589157,0.3473563243166125,0.21816092159599074,0.06192628074523019
16,20.0,0.7586207389831543,0.5977011919021606,0.16197648644447327,0.31333333172803285,0.15839080840349196,0.05336504304117854
17,20.0,0.5517241358757019,0.5747126340866089,0.17016778886318207,0.31632183869337205,0.2567816146835684,0.06502048081322305
18,20.0,0.6666666269302368,0.5977011919021606,0.15087857842445374,0.34114942411924243,0.2567816146835684,0.06491478652661216
19,20.0,0.6666666269302368,0.48275864124298096,0.17043201625347137,0.31908046112363697,0.17724137786775826,0.055434008787503854
20,30.0,0.8275861740112305,0.5517240762710571,0.13370327651500702,0.6514942509963596,0.2760919583961368,0.12628616616772165
21,30.0,0.6896551847457886,0.48275867104530334,0.12815432250499725,0.650344820813886,0.25770114500075586,0.11735235729650861
22,30.0,0.7356321811676025,0.9195401072502136,0.15087857842445374,0.6535632158353412,0.3080459664389492,0.11153388712940544
23,30.0,0.7126436233520508,0.5287356376647949,0.13502445816993713,0.6085057474210346,0.2749425408616662,0.13069361900760865
24,30.0,0.9885057210922241,0.7586207389831543,0.18364381790161133,0.6422988517119967,0.29011494722217324,0.11988637758568783
25,30.0,0.7586207389831543,0.5747126936912537,0.14400845766067505,0.6517241359784687,0.29149422738701103,0.10720041873383103
26,30.0,0.8275861740112305,0.6206897497177124,0.16831813752651215,0.5988505823447787,0.26183907661587025,0.12891002781817626
27,30.0,0.7586207389831543,0.5517241954803467,0.14189457893371582,0.7225287150309002,0.4664367718622088,0.1039423959560949
28,30.0,0.8275861740112305,0.8505748510360718,0.16884660720825195,0.6517241359784687,0.3098850453272461,0.10468489636463678
29,30.0,0.7126436233520508,0.48275870084762573,0.13793103396892548,0.7227586119339383,0.3912643443793058,0.10560973082808241
30,40.0,0.919540286064148,0.7126436233520508,0.19474169611930847,0.7147126389577472,0.42275862216949456,0.08885189257647799
31,40.0,0.8275861740112305,0.873563289642334,0.15061436593532562,0.6970114857986056,0.4096551648154856,0.09419473929394935
32,40.0,0.8045977354049683,0.48275870084762573,0.14955739676952362,0.6951724039480603,0.4096551648154856,0.09046108937254924
33,40.0,0.8045977354049683,0.6436781287193298,0.13528867065906525,0.7108045865132891,0.4360919534042477,0.08933015886308816
34,40.0,0.7816091775894165,0.8505746722221375,0.1482362449169159,0.6937930966451251,0.4096551648154856,0.09274408541491319
35,40.0,0.8965517282485962,1.2413792610168457,0.20980313420295715,0.697931024534949,0.43218390479683877,0.09513277660327397
36,40.0,0.8505747318267822,0.5747126340866089,0.17915180325508118,0.7747126321957029,0.5717241245880722,0.09663891936299103
37,40.0,0.8505747318267822,1.2413793802261353,0.19421322643756866,0.7489655213520444,0.4241379228234289,0.09557140724241048
38,40.0,0.8965517282485962,0.6206895709037781,0.17386707663536072,0.7165517200067126,0.44551724188029773,0.0867327234315975
39,40.0,0.8505747318267822,0.5747127532958984,0.15801294147968292,0.6885057414605701,0.4096551648154856,0.09540229697208637
