,config1_kld,config2_kld,config3_kld,config4_kld,config5_kld
Random,323.0850796259635,326.8598669918555,134.2059873890379,97.73510362154846,108.28368454380328,
PR,35219.594691733175,2629579191.589157,758197788260.3032,3247494390153.146,4.979928327292532,
RF,23.909130756259316,1266555.5359217608,152.24910125390247,1676500.2189537606,40339.16607417368,
BC_det_best_loss,1070.8649172023147,1.1387419565353673e+30,59192407365.09395,83636036.23958309,359.8291298809422,
BC_det_best_eucl,1586287.6044234885,1053829821172.8505,10933.536635215292,636.2814807604833,395.90418024904557,
BC_det_best_dtw,1586287.6044234885,1053829821172.8505,10933.536635215292,636.2814807604833,395.90418024904557,
BC_nondet_best_loss,7.756641014400389,22.152473113404895,6.696786137201212,15.282422660691383,2.415238112939024,
BC_nondet_best_eucl,4.857575901689654,62.22917006478384,21.715237491299465,8.220203287859412,2.1318441824643344,
BC_nondet_best_dtw,6.282453797600516,61.785394668341354,13.591051731233671,13.278612932511345,3.4496702622565154,
GAIL_det_ppo_best_loss,53505.233730399465,26731446.121036045,194093574.33323106,9.712505031637914e+30,66217376613349.76,
GAIL_det_ppo_best_eucl,53505.233730399465,26731446.121036045,194093574.33323106,9.712505031637914e+30,66217376613349.76,
GAIL_det_ppo_best_dtw,302316.7226055678,706940.043019034,38947966.84287312,576228772.6806663,2227107344.308601,
GAIL_nondet_ppo_best_loss,44.20199766620672,32.64977003812437,36.453341396776885,32.8194662013668,26.4292799073901,
GAIL_nondet_ppo_best_eucl,29.810379565164958,34.069736075604,56.262986461228905,103.626408926671,246.1462277649642,
GAIL_nondet_ppo_best_dtw,44.70214848973474,44.916872995629696,69.18368313840136,145.356875595916,283.15985384245846,
BCxGAIL_det_ppo_best_loss,667.285357648079,8425.974925127857,62150677.79047792,1142.6541554151197,92144.61830744086,
BCxGAIL_det_ppo_best_eucl,111.3502893425142,32033.73908245783,6.731177855589112e+28,9652377.33981819,9672606.077083586,
BCxGAIL_det_ppo_best_dtw,111.3502893425142,32033.73908245783,6.731177855589112e+28,9652377.33981819,9672606.077083586,
BCxGAIL_nondet_ppo_best_loss,15.155501756391928,111.53938034013896,4.7728728813883,5.352537406465232,5.259710566035186,
BCxGAIL_nondet_ppo_best_eucl,7.125875755749945,194.17134359447337,7.425665020687024,7.2493417195041605,12.077975097180017,
BCxGAIL_nondet_ppo_best_dtw,1.1953154126082914,278.00612170866356,3.719549218801042,7.758050435512962,22.017937636768117,
