,controller config,fot safety,fot comfort,fot mean comfort,Random safety,Random comfort,Random mean comfort,Random euclidean,Random dtw
0,10.0,0.4367816150188446,0.6206896901130676,0.11864183098077774,1.1703213453292847,5.122832298278809,1.964065670967102,5.850831508636475,13.203701972961426
1,10.0,0.3218390643596649,0.436781644821167,0.09565332531929016,1.1669719219207764,5.615521430969238,2.0016069412231445,5.989195823669434,17.15882682800293
2,10.0,0.2988505959510803,0.41379308700561523,0.1070154532790184,1.1413490772247314,5.681205749511719,2.4985873699188232,5.982902526855469,16.51589012145996
3,10.0,0.48275861144065857,0.6436781883239746,0.13291054964065552,1.1611990928649902,6.057884693145752,1.9539819955825806,6.100180625915527,16.91517448425293
4,10.0,0.27586206793785095,0.4137931168079376,0.09750298410654068,1.1221903562545776,4.921236991882324,2.0224499702453613,5.808350563049316,12.652970314025879
5,10.0,0.4597701132297516,0.3448275923728943,0.12868277728557587,1.155596375465393,5.688849449157715,2.012812376022339,5.779687881469727,14.054559707641602
6,10.0,0.36781609058380127,0.4597701132297516,0.10807240009307861,1.16523277759552,7.11859655380249,1.8413536548614502,6.10215425491333,15.663537979125977
7,10.0,0.29885056614875793,0.4597700834274292,0.11124323308467865,1.1527355909347534,6.893937110900879,1.978150486946106,5.956097602844238,20.273046493530273
8,10.0,0.27586206793785095,0.3678160309791565,0.10410885512828827,1.1435307264328003,6.285089492797852,2.4204840660095215,6.0111236572265625,18.11203956604004
9,10.0,0.48275861144065857,0.36781615018844604,0.12683314085006714,1.154058575630188,6.208407402038574,1.8374544382095337,5.491930961608887,10.761326789855957
10,20.0,0.7126436233520508,0.8965516686439514,0.1469150334596634,1.1468579769134521,5.620758056640625,2.1016054153442383,6.639542579650879,11.92707633972168
11,20.0,0.6206896305084229,0.5977011919021606,0.1651473194360733,1.1698683500289917,6.062976837158203,1.5317389965057373,5.669249057769775,6.205121040344238
12,20.0,0.7126436233520508,0.5287357568740845,0.15404942631721497,1.1595271825790405,6.383390426635742,2.1271281242370605,6.254069805145264,12.596770286560059
13,20.0,0.5747126340866089,0.436781644821167,0.12207689881324768,1.1649664640426636,5.108283519744873,1.7961320877075195,5.64909553527832,10.302027702331543
14,20.0,0.5977011919021606,0.390804648399353,0.1305324286222458,1.1600637435913086,5.449100494384766,1.9311790466308594,5.812227725982666,8.558683395385742
15,20.0,0.919540286064148,0.5977012515068054,0.15299247205257416,1.1685435771942139,6.339846611022949,2.224647045135498,7.55714750289917,17.410974502563477
16,20.0,0.5977011919021606,0.4597700834274292,0.1321178525686264,1.162286639213562,5.854351043701172,2.028449296951294,5.762182235717773,10.614909172058105
17,20.0,0.6896551847457886,0.4597701132297516,0.1725459098815918,1.1097711324691772,6.1615495681762695,1.8634737730026245,6.107590675354004,8.181147575378418
18,20.0,0.7586207389831543,0.5747125744819641,0.1635618954896927,1.1395654678344727,5.659855365753174,2.1412312984466553,7.159942626953125,12.126792907714844
19,20.0,0.5517240762710571,0.6896551847457886,0.14163033664226532,1.16342294216156,5.570062637329102,1.955426573753357,6.567047595977783,16.611650466918945
20,30.0,0.7126436233520508,0.6896551847457886,0.13845950365066528,1.1562362909317017,6.304368495941162,2.2327587604522705,6.7185235023498535,12.67077350616455
21,30.0,0.8045977354049683,0.5057471990585327,0.15061435103416443,1.1692700386047363,7.393557548522949,1.8066213130950928,7.48284387588501,12.698161125183105
22,30.0,0.7586207389831543,0.6436781883239746,0.1474435180425644,1.1548482179641724,5.895196914672852,2.0503690242767334,7.383397102355957,10.38182544708252
23,30.0,0.9885057210922241,0.6206896901130676,0.18390806019306183,1.1557841300964355,6.359952926635742,2.269076347351074,6.650371074676514,15.324384689331055
24,30.0,0.7356321811676025,0.8275861740112305,0.1572202444076538,1.1423416137695312,4.411066055297852,1.82875394821167,7.522019386291504,12.67040729522705
25,30.0,0.7356321811676025,0.5057470798492432,0.14427268505096436,1.1598550081253052,4.957716941833496,2.051602840423584,6.792288780212402,7.866311550140381
26,30.0,0.8045977354049683,0.5517240762710571,0.1408376395702362,1.139893889427185,4.576265811920166,2.013491153717041,6.914790153503418,12.05469799041748
27,30.0,1.080459713935852,0.5057471990585327,0.15378516912460327,1.1621369123458862,5.3449249267578125,1.8293285369873047,6.907782554626465,7.070959091186523
28,30.0,0.8735631704330444,0.8965517282485962,0.15008588135242462,1.1648393869400024,5.685413360595703,2.1043782234191895,7.3202104568481445,14.908084869384766
29,30.0,0.8505747318267822,0.5287356972694397,0.13819526135921478,1.167433261871338,5.967845439910889,2.086719274520874,7.306727409362793,18.055360794067383
30,40.0,0.8045977354049683,1.126436710357666,0.17862333357334137,1.1026592254638672,5.025035858154297,1.8180103302001953,7.953488826751709,11.231461524963379
31,40.0,0.919540286064148,0.7126436829566956,0.18258686363697052,1.1445121765136719,5.582452774047852,1.8208409547805786,7.64570951461792,12.656682968139648
32,40.0,0.8045977354049683,1.0574712753295898,0.16250494122505188,1.1438101530075073,5.224489212036133,1.8609198331832886,7.099355697631836,9.6306734085083
33,40.0,0.8045977354049683,0.5287356376647949,0.14215880632400513,1.1698217391967773,6.230700969696045,2.4435505867004395,7.185135841369629,15.634056091308594
34,40.0,0.8275861740112305,0.7586206197738647,0.14612233638763428,1.17122220993042,6.536481857299805,2.3180623054504395,8.092604637145996,17.851573944091797
35,40.0,0.8045977354049683,0.5747125148773193,0.16329766809940338,1.1516517400741577,6.157562255859375,2.2154574394226074,7.343989849090576,11.209397315979004
36,40.0,0.8735631704330444,0.9655172228813171,0.18417228758335114,1.166612148284912,5.811948299407959,2.1207773685455322,6.835468769073486,12.983670234680176
37,40.0,1.034482717514038,0.7126436233520508,0.1738670915365219,1.1358898878097534,5.53029203414917,2.0208749771118164,7.0140814781188965,13.822988510131836
38,40.0,0.9425287246704102,0.9885057210922241,0.16197648644447327,1.1524752378463745,5.713229179382324,2.148885726928711,8.002208709716797,15.26616096496582
