,controller config,fot safety,fot comfort,fot mean comfort,BC_det best_loss safety,BC_det best_loss comfort,BC_det best_loss mean comfort,BC_det best_loss euclidean,BC_det best_loss dtw,BC_det best_eucl safety,BC_det best_eucl comfort,BC_det best_eucl mean comfort,BC_det best_eucl euclidean,BC_det best_eucl dtw,BC_det best_dtw safety,BC_det best_dtw comfort,BC_det best_dtw mean comfort,BC_det best_dtw euclidean,BC_det best_dtw dtw
0,0.6000000238418579,0.1944562792778015,0.039232492446899414,0.005746440030634403,0.20999032258987427,0.0270368754863739,0.0006654381286352873,0.1724725067615509,-33.94559860229492,0.20664918422698975,0.018566668033599854,0.0004642915155272931,0.13799834251403809,-33.95952606201172,0.20241093635559082,0.0237443745136261,0.0005740290507674217,0.10482693463563919,-33.96757125854492
1,0.6000000238418579,0.1944562792778015,0.12281453609466553,0.007792419288307428,0.20999032258987427,0.0073746442794799805,0.00036117725539952517,0.17396187782287598,-33.93928909301758,0.20664918422698975,0.01704460382461548,0.0005127139156684279,0.14728450775146484,-33.950828552246094,0.20241093635559082,0.010328680276870728,0.0004004399525001645,0.11148548871278763,-33.96352767944336
2,0.6000000238418579,0.1944562792778015,0.14413654804229736,0.007261122111231089,0.20999032258987427,0.008210688829421997,0.0002201585448347032,0.21268019080162048,-33.92667007446289,0.20664918422698975,0.004481375217437744,0.00019947849796153605,0.16988636553287506,-33.946250915527344,0.20241093635559082,0.005951821804046631,0.00017767329700291157,0.14767922461032867,-33.952789306640625
3,0.6000000238418579,0.1944562792778015,0.09211087226867676,0.005704499315470457,0.20999032258987427,0.009505987167358398,0.00036899279803037643,0.12627042829990387,-33.95683670043945,0.20664918422698975,0.013524293899536133,0.0005104209412820637,0.11065679043531418,-33.96455001831055,0.20241093635559082,0.0074773430824279785,0.00034378524287603796,0.13054205477237701,-33.96106719970703
4,0.6000000238418579,0.1944562792778015,0.10234546661376953,0.007377640809863806,0.20999032258987427,0.034900814294815063,0.0008702758350409567,0.2028590738773346,-33.918251037597656,0.20664918422698975,0.029254615306854248,0.000670850567985326,0.19099518656730652,-33.92763900756836,0.20241093635559082,0.03291448950767517,0.000776716391555965,0.17781198024749756,-33.94045639038086
5,0.6000000238418579,0.1944562792778015,0.0605543851852417,0.005746453069150448,0.20999032258987427,0.011398673057556152,0.00032358482712879777,0.20880287885665894,-33.933326721191406,0.20664918422698975,0.007749676704406738,0.00026149486075155437,0.15159542858600616,-33.9555549621582,0.20241093635559082,0.010486632585525513,0.0002926247543655336,0.11718880385160446,-33.96501541137695
6,0.6000000238418579,0.1944562792778015,0.10063958168029785,0.006366295740008354,0.20999032258987427,0.008320033550262451,0.00035249729990027845,0.145262211561203,-33.95252990722656,0.20664918422698975,0.00799626111984253,0.00038277709973044693,0.12112830579280853,-33.96352005004883,0.20241093635559082,0.00599747896194458,0.0002681850746739656,0.1259164959192276,-33.966453552246094
7,0.6000000238418579,0.1944562792778015,0.08699357509613037,0.0062824129126966,0.20999032258987427,0.009376108646392822,0.000327424582792446,0.15350234508514404,-33.950706481933594,0.20664918422698975,0.016125857830047607,0.0004635925288312137,0.1296917200088501,-33.9622917175293,0.20241093635559082,0.01121586561203003,0.0003732537152245641,0.11861491203308105,-33.96930694580078
8,0.6000000238418579,0.1944562792778015,0.06993609666824341,0.006063359323889017,0.20999032258987427,0.005090534687042236,0.0002350955328438431,0.20346665382385254,-33.93570327758789,0.20664918422698975,0.003171980381011963,0.00016960631182882935,0.14610092341899872,-33.95779037475586,0.20241093635559082,0.003475397825241089,0.00018534454284235835,0.11329788714647293,-33.96617889404297
9,0.6000000238418579,0.1944562792778015,0.22004258632659912,0.00912533886730671,0.20999032258987427,0.006371557712554932,0.00019869061361532658,0.26225826144218445,-33.88090896606445,0.20664918422698975,0.007642537355422974,0.0002616072306409478,0.2441793829202652,-33.893470764160156,0.20241093635559082,0.007190585136413574,0.00020415861217770725,0.20903415977954865,-33.914451599121094
