,controller config,fot safety,fot comfort,fot mean comfort,GAIL_det_ppo best_loss safety,GAIL_det_ppo best_loss comfort,GAIL_det_ppo best_loss mean comfort,GAIL_det_ppo best_eucl safety,GAIL_det_ppo best_eucl comfort,GAIL_det_ppo best_eucl mean comfort,GAIL_det_ppo best_dtw safety,GAIL_det_ppo best_dtw comfort,GAIL_det_ppo best_dtw mean comfort
0,10.0,0.3448275625705719,0.4827585816383362,0.09591756016016006,0.34068506956100464,0.1506873071193695,0.06483378261327744,0.13382300734519958,0.13126948475837708,0.04139035940170288,0.34068506956100464,0.1506873071193695,0.06483378261327744
1,10.0,0.4367816150188446,0.4597701132297516,0.08825472742319107,0.34970635175704956,0.1525598019361496,0.06552214175462723,0.15320351719856262,0.1106676310300827,0.03836619481444359,0.34970635175704956,0.1525598019361496,0.06552214175462723
2,10.0,0.5057471394538879,0.4597700834274292,0.10225921869277954,0.34069979190826416,0.150816410779953,0.06533254683017731,0.13703875243663788,0.13674616813659668,0.041427988559007645,0.34069979190826416,0.150816410779953,0.06533254683017731
3,10.0,0.3448275923728943,0.436781644821167,0.10199496150016785,0.34070199728012085,0.1501561403274536,0.0666152760386467,0.16858980059623718,0.10857884585857391,0.03438649699091911,0.34070199728012085,0.1501561403274536,0.0666152760386467
4,10.0,0.3448275923728943,0.5057470798492432,0.10040955990552902,0.34067651629447937,0.1513306200504303,0.06485888361930847,0.13938258588314056,0.13101229071617126,0.040946703404188156,0.34067651629447937,0.1513306200504303,0.06485888361930847
5,10.0,0.39080458879470825,0.5517241358757019,0.12709736824035645,0.3409217298030853,0.16853627562522888,0.06759683042764664,0.1380976140499115,0.10847342014312744,0.03510916233062744,0.3409217298030853,0.16853627562522888,0.06759683042764664
6,10.0,0.4597701132297516,0.4367816150188446,0.10543004423379898,0.34065699577331543,0.1523471176624298,0.06588070839643478,0.12612700462341309,0.11381606757640839,0.04071939364075661,0.34065699577331543,0.1523471176624298,0.06588070839643478
7,10.0,0.2988505959510803,0.41379308700561523,0.10225921124219894,0.340706467628479,0.15039032697677612,0.06671938300132751,0.15590906143188477,0.11172400414943695,0.03972814977169037,0.340706467628479,0.15039032697677612,0.06671938300132751
8,10.0,0.27586206793785095,0.2988505959510803,0.0734575167298317,0.3406699299812317,0.15459290146827698,0.06446156650781631,0.12612700462341309,0.13987034559249878,0.041734229773283005,0.3406699299812317,0.15459290146827698,0.06446156650781631
9,10.0,0.39080458879470825,0.3448275923728943,0.09988108277320862,0.3415783643722534,0.16655233502388,0.06817636638879776,0.14842520654201508,0.10848253965377808,0.031441785395145416,0.3415783643722534,0.16655233502388,0.06817636638879776
10,20.0,0.5287356376647949,0.4597700834274292,0.14400845766067505,0.43349361419677734,0.15994001924991608,0.07792697846889496,0.24664756655693054,0.24070703983306885,0.09781131148338318,0.43349361419677734,0.15994001924991608,0.07792697846889496
11,20.0,0.6206896305084229,0.5747126340866089,0.16171224415302277,0.4522785544395447,0.20290151238441467,0.10476741194725037,0.3240080773830414,0.24072472751140594,0.1044689267873764,0.4522785544395447,0.20290151238441467,0.10476741194725037
12,20.0,0.5517241358757019,0.5977011322975159,0.12577620148658752,0.44107678532600403,0.15949366986751556,0.07783365249633789,0.24523001909255981,0.24071821570396423,0.09731164574623108,0.44107678532600403,0.15949366986751556,0.07783365249633789
13,20.0,0.6206896305084229,0.4367816746234894,0.1479719877243042,0.44470709562301636,0.20840494334697723,0.10436137020587921,0.2993658781051636,0.25185301899909973,0.10535198450088501,0.44470709562301636,0.20840494334697723,0.10436137020587921
14,20.0,0.6206896305084229,0.41379314661026,0.12234113365411758,0.441984087228775,0.2118690311908722,0.10439712554216385,0.28665491938591003,0.2615419328212738,0.10540501773357391,0.441984087228775,0.2118690311908722,0.10439712554216385
15,20.0,0.5747126340866089,0.48275864124298096,0.1323820799589157,0.43187791109085083,0.15787523984909058,0.07616136223077774,0.3211043179035187,0.26095476746559143,0.10450167208909988,0.43187791109085083,0.15787523984909058,0.07616136223077774
16,20.0,0.7586207389831543,0.5977011919021606,0.16197648644447327,0.45303836464881897,0.21403777599334717,0.10401745140552521,0.24257442355155945,0.24074065685272217,0.10071238875389099,0.45303836464881897,0.21403777599334717,0.10401745140552521
17,20.0,0.5517241358757019,0.5747126340866089,0.17016778886318207,0.45872247219085693,0.20288018882274628,0.10536464303731918,0.25155705213546753,0.24068254232406616,0.10018826276063919,0.45872247219085693,0.20288018882274628,0.10536464303731918
18,20.0,0.6666666269302368,0.5977011919021606,0.15087857842445374,0.4583074748516083,0.20605573058128357,0.1062423437833786,0.3268882930278778,0.25294116139411926,0.10494878888130188,0.4583074748516083,0.20605573058128357,0.1062423437833786
19,20.0,0.6666666269302368,0.48275864124298096,0.17043201625347137,0.43405458331108093,0.1648988574743271,0.0778173953294754,0.27655625343322754,0.24078187346458435,0.09606530517339706,0.43405458331108093,0.1648988574743271,0.0778173953294754
