,controller config,fot safety,fot comfort,fot mean comfort,RF safety,RF comfort,RF mean comfort
0,10.0,0.3448275625705719,0.4827585816383362,0.09591756016016006,0.22551724282061222,0.2441379224509001,0.06409565571952482
1,10.0,0.4367816150188446,0.4597701132297516,0.08825472742319107,0.230344828860513,0.2441379224509001,0.06498348794063959
2,10.0,0.5057471394538879,0.4597700834274292,0.10225921869277954,0.2245977025196469,0.2342528685182333,0.06775267762913442
3,10.0,0.3448275923728943,0.436781644821167,0.10199496150016785,0.2540229874194181,0.2441379224509001,0.06853745802937224
4,10.0,0.3448275923728943,0.5057470798492432,0.10040955990552902,0.2245977025196469,0.2342528685182333,0.06885982558216856
5,10.0,0.39080458879470825,0.5517241358757019,0.12709736824035645,0.2917241329982364,0.2441379224509001,0.06510767816255489
6,10.0,0.4597701132297516,0.4367816150188446,0.10543004423379898,0.22551724282061222,0.19540229402482506,0.06453692920548819
7,10.0,0.2988505959510803,0.41379308700561523,0.10225921124219894,0.2604597723946488,0.2441379224509001,0.06520016053927012
8,10.0,0.27586206793785095,0.2988505959510803,0.0734575167298317,0.2245977025196469,0.2933333216235041,0.07236359109952187
9,10.0,0.39080458879470825,0.3448275923728943,0.09988108277320862,0.23563218603874087,0.24114942114800209,0.06837891650139942
10,20.0,0.5287356376647949,0.4597700834274292,0.14400845766067505,0.3009195398629224,0.18022988878190527,0.06223543623569367
11,20.0,0.6206896305084229,0.5747126340866089,0.16171224415302277,0.35034482727790706,0.23770115718245502,0.06458977640274612
12,20.0,0.5517241358757019,0.5977011322975159,0.12577620148658752,0.30827586152558684,0.18183908455073844,0.06016647007530447
13,20.0,0.6206896305084229,0.4367816746234894,0.1479719877243042,0.3478161037995898,0.23425286743789922,0.07190646413628055
14,20.0,0.6206896305084229,0.41379314661026,0.12234113365411758,0.3370115057661617,0.23425286743789922,0.07062756275265723
15,20.0,0.5747126340866089,0.48275864124298096,0.1323820799589157,0.366436782562784,0.29678160980343815,0.06973444577863161
16,20.0,0.7586207389831543,0.5977011919021606,0.16197648644447327,0.314942527496866,0.2441379224509001,0.06530057126206569
17,20.0,0.5517241358757019,0.5747126340866089,0.17016778886318207,0.31379310240005615,0.2342528685182333,0.07446162049369565
