,controller config,fot safety,fot comfort,fot mean comfort,BCxGAIL_det_ppo best_loss safety,BCxGAIL_det_ppo best_loss comfort,BCxGAIL_det_ppo best_loss mean comfort,BCxGAIL_det_ppo best_eucl safety,BCxGAIL_det_ppo best_eucl comfort,BCxGAIL_det_ppo best_eucl mean comfort,BCxGAIL_det_ppo best_dtw safety,BCxGAIL_det_ppo best_dtw comfort,BCxGAIL_det_ppo best_dtw mean comfort
0,10.0,0.3448275625705719,0.4827585816383362,0.09591756016016006,0.20985263586044312,0.17722386121749878,0.08119067549705505,0.21917283535003662,0.2455187290906906,0.0896550640463829,0.20298418402671814,0.1909293532371521,0.08413685858249664
1,10.0,0.4367816150188446,0.4597701132297516,0.08825472742319107,0.22623154520988464,0.22586530447006226,0.09282984584569931,0.2677173316478729,0.24493129551410675,0.09081460535526276,0.2669508159160614,0.2438478022813797,0.059555936604738235
2,10.0,0.5057471394538879,0.4597700834274292,0.10225921869277954,0.21053743362426758,0.1772925704717636,0.08121538907289505,0.2191803753376007,0.24516427516937256,0.08480912446975708,0.1829867660999298,0.10974019020795822,0.0497119277715683
3,10.0,0.3448275923728943,0.436781644821167,0.10199496150016785,0.2170923948287964,0.22621159255504608,0.0912940725684166,0.24259518086910248,0.25468146800994873,0.0915532261133194,0.23382101953029633,0.24800381064414978,0.0628071054816246
4,10.0,0.3448275923728943,0.5057470798492432,0.10040955990552902,0.24896609783172607,0.22413170337677002,0.09564864635467529,0.21910420060157776,0.24846872687339783,0.0879702940583229,0.18646255135536194,0.2416040003299713,0.05850842222571373
5,10.0,0.39080458879470825,0.5517241358757019,0.12709736824035645,0.2650534212589264,0.22756101191043854,0.09163955599069595,0.25044453144073486,0.2450782060623169,0.08574946969747543,0.23875680565834045,0.2170373946428299,0.0557803176343441
6,10.0,0.4597701132297516,0.4367816150188446,0.10543004423379898,0.2518059015274048,0.20007112622261047,0.09424076974391937,0.2377316951751709,0.2456464171409607,0.0872076153755188,0.21515049040317535,0.19402790069580078,0.08226161450147629
7,10.0,0.2988505959510803,0.41379308700561523,0.10225921124219894,0.23644742369651794,0.22572867572307587,0.09212032705545425,0.23240697383880615,0.2451145499944687,0.09063703566789627,0.22644051909446716,0.23934048414230347,0.06410359591245651
8,10.0,0.27586206793785095,0.2988505959510803,0.0734575167298317,0.2179730087518692,0.22610506415367126,0.09270944446325302,0.23950158059597015,0.24527224898338318,0.09053506702184677,0.183589905500412,0.16124586760997772,0.05157154053449631
9,10.0,0.39080458879470825,0.3448275923728943,0.09988108277320862,0.2547888159751892,0.2044796645641327,0.09266062080860138,0.2287634313106537,0.24509884417057037,0.08862597495317459,0.21425223350524902,0.2376897931098938,0.06015795096755028
