,controller config,fot safety,fot comfort,fot mean comfort,RF safety,RF comfort,RF mean comfort,RF euclidean,RF dtw
0,10.0,0.6206896305084229,0.7356321811676025,0.11784913390874863,0.20344827453637954,0.1841379311680794,0.05550534972985243,2.459186655242435,-12.64784092175095
1,10.0,0.3678160607814789,0.36781612038612366,0.1329105645418167,0.35356322103147864,0.29149426240473986,0.06030915488799413,1.9943773957293698,-13.41228050285781
2,10.0,0.3678160607814789,0.436781644821167,0.10120226442813873,0.2013793067171657,0.15448276601731786,0.056654775072445825,1.9246853021086205,-13.610432619809902
3,10.0,0.4367816150188446,0.39080458879470825,0.12049148976802826,0.2790804627255118,0.17655173007398844,0.05819791136630651,1.3107825942332658,-13.050747139019892
4,10.0,0.7126436233520508,0.7586206197738647,0.12762585282325745,0.34712643948351507,0.31034483544528485,0.06959439781419506,2.101819595440138,-12.731852270567959
5,10.0,0.3448275923728943,0.32183903455734253,0.11784911900758743,0.25264367024446366,0.16551724918186667,0.05454617445838862,1.140522784538269,-13.999086127505706
6,10.0,0.2298850417137146,0.27586206793785095,0.08032765984535217,0.27448276084815626,0.20091954398900272,0.06500462280564953,1.638116853141941,-14.241214400293181
7,10.0,0.3218390941619873,0.2988505959510803,0.09274673461914062,0.20160919169927477,0.16551724918186667,0.05483683397886398,1.720651865422916,-13.753442537638023
8,10.0,0.2988505959510803,0.6666666269302368,0.12551195919513702,0.4011494286448276,0.3429885106161237,0.06516844874997249,1.5130722134426535,-13.673962214689892
9,10.0,0.3448275625705719,0.4827585816383362,0.09591756016016006,0.20459769646669268,0.14229884523898362,0.05278900649569843,1.5888738719613005,-14.162617756079719
10,20.0,0.5517241358757019,0.6666666865348816,0.16726118326187134,0.38597701420044067,0.1926436731219292,0.05855462839891171,2.833956862200851,-9.044037700432254
11,20.0,0.5287356376647949,0.459770143032074,0.14268727600574493,0.25908044870043634,0.16551724918186667,0.05496366564526983,3.357167122909458,-8.803399060262517
12,20.0,0.5977011919021606,0.48275864124298096,0.16911084949970245,0.2664367815197027,0.2312643418088556,0.05672347616275838,3.2988266932875168,-6.089372334810616
