,controller config,fot safety,fot comfort,fot mean comfort,BC_nondet best_loss safety,BC_nondet best_loss comfort,BC_nondet best_loss mean comfort,BC_nondet best_eucl safety,BC_nondet best_eucl comfort,BC_nondet best_eucl mean comfort,BC_nondet best_dtw safety,BC_nondet best_dtw comfort,BC_nondet best_dtw mean comfort
0,10.0,0.3448275625705719,0.4827585816383362,0.09591756016016006,0.299619197845459,0.645953357219696,0.18374383449554443,0.3393672704696655,0.8552199006080627,0.2136787325143814,0.3431452214717865,0.6367690563201904,0.1961124837398529
1,10.0,0.4367816150188446,0.4597701132297516,0.08825472742319107,0.31710416078567505,0.5618860721588135,0.2044978141784668,0.31827250123023987,0.6697947978973389,0.19615322351455688,0.3090234100818634,0.7367403507232666,0.17592282593250275
2,10.0,0.5057471394538879,0.4597700834274292,0.10225921869277954,0.40119391679763794,0.5373224020004272,0.1597658395767212,0.40427321195602417,0.7228203415870667,0.1965261697769165,0.298135370016098,0.5689854621887207,0.18080410361289978
3,10.0,0.3448275923728943,0.436781644821167,0.10199496150016785,0.3243386447429657,0.5529764890670776,0.15532618761062622,0.36376166343688965,0.6799658536911011,0.19166192412376404,0.30468595027923584,0.6901395320892334,0.15462297201156616
4,10.0,0.3448275923728943,0.5057470798492432,0.10040955990552902,0.3185836672782898,0.551437497138977,0.17087732255458832,0.3366207182407379,0.8277965784072876,0.23128867149353027,0.2829637825489044,0.5193918347358704,0.17536646127700806
5,10.0,0.39080458879470825,0.5517241358757019,0.12709736824035645,0.33857354521751404,0.5068458318710327,0.1360870897769928,0.3653688132762909,0.5421391129493713,0.17790260910987854,0.3288361132144928,0.696742057800293,0.18299399316310883
6,10.0,0.4597701132297516,0.4367816150188446,0.10543004423379898,0.33303308486938477,0.655521810054779,0.1728224903345108,0.30965638160705566,0.6428689956665039,0.21239419281482697,0.3475373089313507,0.653360903263092,0.21310418844223022
7,10.0,0.2988505959510803,0.41379308700561523,0.10225921124219894,0.36438849568367004,0.812283456325531,0.16195732355117798,0.3714391589164734,0.6172049641609192,0.20483306050300598,0.3517955541610718,0.520295262336731,0.14397896826267242
8,10.0,0.27586206793785095,0.2988505959510803,0.0734575167298317,0.3768266439437866,0.6146804094314575,0.16884879767894745,0.36103224754333496,0.5465880632400513,0.1776069700717926,0.3613380789756775,0.5949053764343262,0.20597946643829346
9,10.0,0.39080458879470825,0.3448275923728943,0.09988108277320862,0.30516546964645386,0.6952071785926819,0.14851486682891846,0.3556636571884155,0.6384649276733398,0.19272911548614502,0.3703121542930603,0.5164797306060791,0.17439083755016327
10,20.0,0.5287356376647949,0.4597700834274292,0.14400845766067505,0.5574485063552856,0.8970277309417725,0.26122215390205383,0.5975806713104248,0.6690202355384827,0.2375291883945465,0.5503209829330444,1.1787854433059692,0.20604819059371948
11,20.0,0.6206896305084229,0.5747126340866089,0.16171224415302277,0.6760019063949585,0.6440033912658691,0.20335401594638824,0.6526440382003784,1.3723366260528564,0.3229717016220093,0.48073670268058777,0.6307098865509033,0.21764560043811798
12,20.0,0.5517241358757019,0.5977011322975159,0.12577620148658752,0.4962415397167206,0.659857988357544,0.187215656042099,0.5752620697021484,0.7190960645675659,0.25411421060562134,0.6149712800979614,0.7446914911270142,0.23237109184265137
13,20.0,0.6206896305084229,0.4367816746234894,0.1479719877243042,0.5454145073890686,0.8644969463348389,0.1827334314584732,0.645941972732544,0.9235210418701172,0.22895769774913788,0.532891035079956,0.6645508408546448,0.24753083288669586
14,20.0,0.6206896305084229,0.41379314661026,0.12234113365411758,0.6089006662368774,1.0378730297088623,0.21869325637817383,0.6224796772003174,0.8575929403305054,0.2310640811920166,0.7444210052490234,1.0049710273742676,0.2518988847732544
15,20.0,0.5747126340866089,0.48275864124298096,0.1323820799589157,0.554761528968811,0.7177442908287048,0.18710857629776,0.541698694229126,0.6764242649078369,0.2219722718000412,0.5376026630401611,1.0045006275177002,0.2517796754837036
16,20.0,0.7586207389831543,0.5977011919021606,0.16197648644447327,0.5878356695175171,1.0200166702270508,0.26109302043914795,0.5378526449203491,0.7922064661979675,0.24450503289699554,0.6436061859130859,1.1612000465393066,0.23344211280345917
17,20.0,0.5517241358757019,0.5747126340866089,0.17016778886318207,0.5749164819717407,0.6939675211906433,0.20032110810279846,0.5879895687103271,0.8701784610748291,0.24474520981311798,0.6088563203811646,0.6849234104156494,0.1996171474456787
18,20.0,0.6666666269302368,0.5977011919021606,0.15087857842445374,0.6197960376739502,0.9665242433547974,0.24412821233272552,0.5288302302360535,0.9820042252540588,0.30534565448760986,0.5443471670150757,0.49957895278930664,0.17126411199569702
19,20.0,0.6666666269302368,0.48275864124298096,0.17043201625347137,0.5674205422401428,0.7072064876556396,0.23041000962257385,0.5869871377944946,0.6060312986373901,0.2098436951637268,0.5873563885688782,0.8477312922477722,0.22587598860263824
20,30.0,0.8275861740112305,0.5517240762710571,0.13370327651500702,0.6956902742385864,0.6334837675094604,0.22590750455856323,0.7789263725280762,1.2525361776351929,0.2708548307418823,0.8470979928970337,1.2231972217559814,0.27059149742126465
21,30.0,0.6896551847457886,0.48275867104530334,0.12815432250499725,0.8927978277206421,0.784623384475708,0.3077714741230011,0.7621892690658569,1.6870160102844238,0.33965545892715454,0.8483180999755859,1.1904555559158325,0.2243800312280655
22,30.0,0.7356321811676025,0.9195401072502136,0.15087857842445374,0.7650769948959351,1.0350693464279175,0.31695711612701416,0.7448393106460571,1.484702229499817,0.30131226778030396,0.7702620029449463,1.0703213214874268,0.23594675958156586
23,30.0,0.7126436233520508,0.5287356376647949,0.13502445816993713,0.7304668426513672,0.740868866443634,0.2613406479358673,0.6794424057006836,0.9243412017822266,0.252231627702713,0.8480263948440552,1.22452974319458,0.27738410234451294
24,30.0,0.9885057210922241,0.7586207389831543,0.18364381790161133,1.0049068927764893,1.0513776540756226,0.2379179149866104,0.6825699806213379,1.3023738861083984,0.278611421585083,0.8897740840911865,0.845344066619873,0.2573509216308594
25,30.0,0.7586207389831543,0.5747126936912537,0.14400845766067505,1.0022422075271606,1.5138722658157349,0.27524513006210327,1.0066944360733032,1.8084324598312378,0.36010661721229553,0.8919620513916016,1.2366244792938232,0.24053144454956055
26,30.0,0.8275861740112305,0.6206897497177124,0.16831813752651215,0.647583544254303,1.3354519605636597,0.28130221366882324,0.775917649269104,1.1015105247497559,0.23282074928283691,0.7627490758895874,0.9454418420791626,0.2385481894016266
27,30.0,0.7586207389831543,0.5517241954803467,0.14189457893371582,0.8548921346664429,0.8008902668952942,0.22508805990219116,0.9763846397399902,1.243086814880371,0.34096211194992065,0.9550418853759766,1.319286584854126,0.29317644238471985
28,30.0,0.8275861740112305,0.8505748510360718,0.16884660720825195,0.7039355039596558,0.8663040399551392,0.18844108283519745,0.8300443887710571,1.2991549968719482,0.2906031310558319,0.6739556789398193,1.1570181846618652,0.2480483055114746
29,30.0,0.7126436233520508,0.48275870084762573,0.13793103396892548,0.7355855703353882,1.2054756879806519,0.24055486917495728,0.812150239944458,1.357525110244751,0.23929141461849213,0.6904685497283936,1.181817650794983,0.24660654366016388
30,40.0,0.919540286064148,0.7126436233520508,0.19474169611930847,0.8495223522186279,1.7154934406280518,0.2964044213294983,0.8032283782958984,1.3586680889129639,0.295726478099823,0.8981622457504272,1.4607622623443604,0.29768723249435425
31,40.0,0.8275861740112305,0.873563289642334,0.15061436593532562,0.8737595081329346,2.5849714279174805,0.36361005902290344,0.8574910163879395,1.233142614364624,0.28958919644355774,0.9461791515350342,1.4326763153076172,0.3103525936603546
