,controller config,fot safety,fot comfort,fot mean comfort,BCxGAIL_nondet_ppo best_loss safety,BCxGAIL_nondet_ppo best_loss comfort,BCxGAIL_nondet_ppo best_loss mean comfort,BCxGAIL_nondet_ppo best_eucl safety,BCxGAIL_nondet_ppo best_eucl comfort,BCxGAIL_nondet_ppo best_eucl mean comfort,BCxGAIL_nondet_ppo best_dtw safety,BCxGAIL_nondet_ppo best_dtw comfort,BCxGAIL_nondet_ppo best_dtw mean comfort
0,10.0,0.3218390643596649,0.34482765197753906,0.09486061334609985,0.30538249015808105,0.9097312688827515,0.20784977078437805,0.3173117935657501,0.32152920961380005,0.11870592087507248,0.3309895694255829,0.6978868842124939,0.21178431808948517
1,10.0,0.27586206793785095,0.5977011919021606,0.11705642193555832,0.3558789789676666,0.586280107498169,0.18049193918704987,0.3236677348613739,0.39320844411849976,0.14931821823120117,0.26612621545791626,0.546508252620697,0.18364295363426208
2,10.0,0.41379308700561523,0.5287356376647949,0.11705642193555832,0.3522784411907196,0.747556746006012,0.18684516847133636,0.32066047191619873,0.40997767448425293,0.11196982860565186,0.3144407272338867,0.7460517883300781,0.16772596538066864
3,10.0,0.3218390643596649,0.36781609058380127,0.08429118990898132,0.37495192885398865,0.517541766166687,0.1668788194656372,0.32277897000312805,0.3690575361251831,0.11784404516220093,0.3379586935043335,0.7114315032958984,0.21088875830173492
4,10.0,0.39080461859703064,0.36781615018844604,0.11890606582164764,0.3167304992675781,0.6800274848937988,0.22168153524398804,0.3172471225261688,0.5095117092132568,0.11643986403942108,0.3295705020427704,0.7948433756828308,0.21481914818286896
5,10.0,0.3218390941619873,0.6436781883239746,0.11732064932584763,0.31935855746269226,0.5739607810974121,0.18653711676597595,0.24085280299186707,0.33936843276023865,0.09507239609956741,0.38088375329971313,0.5893223285675049,0.19471921026706696
6,10.0,0.39080461859703064,0.39080455899238586,0.1075439304113388,0.36843547224998474,0.5995341539382935,0.21978545188903809,0.4051673710346222,0.3684098422527313,0.12229544669389725,0.317918062210083,0.5805734395980835,0.1637483835220337
7,10.0,0.3218390941619873,0.2988505959510803,0.08323424309492111,0.38756921887397766,0.6430177092552185,0.1720857322216034,0.33501338958740234,0.3840058743953705,0.13608677685260773,0.31776192784309387,0.5569932460784912,0.19872480630874634
8,10.0,0.3448275923728943,0.5057470798492432,0.10648699104785919,0.31164050102233887,0.6516419053077698,0.2040080428123474,0.36397770047187805,0.425556480884552,0.11836503446102142,0.28166741132736206,0.6969841718673706,0.21382899582386017
9,10.0,0.3448275923728943,0.2758620083332062,0.08904743194580078,0.33790650963783264,0.6084330677986145,0.2015800029039383,0.26662909984588623,0.3722120523452759,0.13258332014083862,0.28365498781204224,0.5461257100105286,0.18948686122894287
