FOT,Random,RF,PR,BC_det,BC_det,BC_det,BC_nondet,BC_nondet,BC_nondet,GAIL_det_ppo,GAIL_det_ppo,GAIL_det_ppo,GAIL_nondet_ppo,GAIL_nondet_ppo,GAIL_nondet_ppo,BCxGAIL_det_ppo,BCxGAIL_det_ppo,BCxGAIL_det_ppo,BCxGAIL_nondet_ppo,BCxGAIL_nondet_ppo,BCxGAIL_nondet_ppo,
-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,
-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,-0.08045977354049683,
-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,-0.03448275849223137,
-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,-0.1034482792019844,
-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,-0.12643678486347198,
-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,-0.26436781883239746,
-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,
-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,-0.4712643623352051,
-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,-0.4482758641242981,
-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,-0.3333333432674408,
-0.14942528307437897,-0.9767454266548157,-0.20942528691142798,-0.2072928055212614,-0.24909313023090363,-0.13313497602939606,-0.23336632549762726,-0.24225392937660217,-0.26888716220855713,-0.3118942379951477,-0.12102576345205307,-0.10587713867425919,-0.12972712516784668,-0.20184552669525146,-0.1637149155139923,-0.19891509413719177,-0.22478783130645752,-0.12200676649808884,-0.2166610211133957,-0.23145678639411926,-0.18000268936157227,-0.25173306465148926,
-0.01149425283074379,0.17621326446533203,-0.14712643787264823,-0.07938191492802715,-0.13125035166740417,-0.04818066582083702,-0.11649462580680847,-0.1030726507306099,-0.1257435828447342,-0.12705916166305542,0.04113657400012016,-0.0861746221780777,0.030155222862958908,-0.08724302053451538,-0.03812480717897415,-0.04278261959552765,-0.15674157440662384,-0.10124695301055908,-0.1507546454668045,-0.06614513695240021,-0.0954807847738266,-0.20412194728851318,
0.08045977354049683,0.6707046031951904,-0.0512643688172102,-0.015790643011525385,-0.028044888749718666,-0.002906038658693433,-0.007516756653785706,-0.060933150351047516,0.08165951073169708,-0.050121989101171494,0.10471441596746445,-0.07522385567426682,0.09566278755664825,0.38798627257347107,-0.01662404090166092,0.04755095764994621,-0.00707257678732276,-0.08296454697847366,0.0005965828313492239,0.0008706469088792801,0.013629093766212463,-0.10069975256919861,
-0.01149425283074379,0.8924325704574585,-0.01379310343414545,-0.03379583719885143,0.015439746901392937,0.03409343957901001,0.04594205319881439,0.08527369797229767,0.11941094696521759,-0.005075570195913315,0.11001407355070114,-0.06549602001905441,0.1051582470536232,0.6026163101196289,0.007140630856156349,0.09813499450683594,0.03476608544588089,-0.0765630304813385,0.044846855103969574,0.09408813714981079,0.10081790387630463,0.0017379149794578552,
-0.14942528307437897,0.628092885017395,-0.04827586241066456,-0.0922438731172921,-0.04076751321554184,0.013459066860377789,-0.004504512529820204,-0.055708348751068115,0.12432760745286942,-0.15213057398796082,0.09160745143890381,-0.058815330266952515,0.08909527957439423,-0.43510332703590393,-0.045708660036325455,0.12596265971660614,-0.024560272693634033,-0.07568877190351486,-0.003932921215891838,-0.009061271324753761,-0.02709764800965786,-0.0012547746300697327,
-0.26436781883239746,0.4713554382324219,-0.21540229752659798,-0.1555668671753897,-0.17638102173805237,-0.0186346173286438,-0.1321841925382614,-0.1232820525765419,-0.0725974589586258,-0.17783524096012115,0.00938241183757782,-0.07375000417232513,0.008414134383201599,0.5748860239982605,-0.11252522468566895,0.03632871061563492,-0.14864562451839447,-0.09245166182518005,-0.11643245071172714,-0.16011130809783936,-0.11522112041711807,-0.09469359368085861,
-0.3563218414783478,-0.014504790306091309,-0.33218390941619874,-0.21340294315664196,-0.2717989385128021,-0.06425351649522781,-0.25676944851875305,-0.19978713989257812,-0.12438244372606277,-0.31959542632102966,-0.06946622580289841,-0.0807005986571312,-0.07029382139444351,0.022075209766626358,-0.15675970911979675,-0.0931660607457161,-0.2386229932308197,-0.10361364483833313,-0.20048053562641144,-0.31684133410453796,-0.254108190536499,-0.21040049195289612,
-0.4482758641242981,0.12476003170013428,-0.39425287023186684,-0.2486851584705888,-0.3550747036933899,-0.12324684113264084,-0.34327432513237,-0.40613991022109985,-0.10062910616397858,-0.4981231391429901,-0.18830926716327667,-0.09401670843362808,-0.18676979839801788,0.4885604679584503,-0.1833553910255432,-0.14995363354682922,-0.3504767119884491,-0.11434085667133331,-0.2982258200645447,-0.3032606244087219,-0.32756197452545166,-0.3142061233520508,
-0.3333333432674408,0.1673595905303955,-0.3271264323592186,-0.26862723066778493,-0.33909130096435547,-0.1551106870174408,-0.3960292637348175,-0.3572818338871002,-0.2719646990299225,-0.3775508403778076,-0.2802770733833313,-0.09742695093154907,-0.2744963467121124,0.00279838964343071,-0.23614808917045593,-0.22985607385635376,-0.40976062417030334,-0.12587574124336243,-0.3677141070365906,-0.3331972062587738,-0.3645744025707245,-0.4582473039627075,
-0.2183908075094223,0.5190720558166504,-0.1744827577471733,-0.24610969212917772,-0.2397175282239914,-0.1730596125125885,-0.29308971762657166,-0.3021929860115051,-0.3147430121898651,-0.3198915719985962,-0.35978737473487854,-0.09793070703744888,-0.3543585240840912,-1.1775000095367432,-0.30459892749786377,-0.2783583104610443,-0.3388627767562866,-0.12386108189821243,-0.2703697979450226,-0.18396389484405518,-0.3145003616809845,-0.34165674448013306,
-0.12643678486347198,0.507086992263794,-0.09701149698346853,-0.17784473494649278,-0.112847238779068,-0.1792633980512619,-0.1761450320482254,-0.18470224738121033,-0.33337876200675964,-0.22939756512641907,-0.34709081053733826,-0.09717921912670135,-0.3442527651786804,0.24255558848381042,-0.2830471992492676,-0.33566802740097046,-0.21622656285762787,-0.1240573450922966,-0.15260057151317596,-0.19858896732330322,-0.16837817430496216,-0.23088128864765167,
-0.05747126415371895,-0.45191460847854614,-0.021609195470809937,-0.1419327252303714,-0.02889082580804825,-0.1883482038974762,-0.06707487255334854,-0.029800906777381897,-0.343744158744812,-0.06001179665327072,-0.2755799889564514,-0.09698937088251114,-0.2771909832954407,0.19973498582839966,-0.2430148869752884,-0.29622939229011536,-0.12717168033123016,-0.12364852428436279,-0.013357761316001415,-0.03335914760828018,-0.08452966809272766,-0.12381108850240707,
-0.05747126415371895,-0.1268560290336609,-0.05494252994656563,-0.11327370816771731,0.03556060418486595,-0.1850597858428955,0.02498575672507286,-0.04444393515586853,-0.17197011411190033,-0.15960995852947235,-0.1808725893497467,-0.09639565646648407,-0.18611609935760498,0.34092259407043457,-0.22295120358467102,-0.22713744640350342,-0.01702076755464077,-0.1229589581489563,0.012065148912370205,0.1080586165189743,0.06699303537607193,-0.07712611556053162,
-0.12643678486347198,0.6354383230209351,-0.1834482755884528,-0.1029923165474042,-0.017932336777448654,-0.16917403042316437,-0.004380097612738609,-0.06705257296562195,-0.06365575641393661,-0.05598674714565277,-0.026400964707136154,-0.0956646129488945,-0.05198291689157486,-0.6570812463760376,-0.1598995327949524,-0.1146920919418335,0.025537224486470222,-0.12180665135383606,-0.05686606839299202,0.12044832110404968,0.10731928050518036,-0.08576861023902893,
-0.19540229439735413,-0.041188836097717285,-0.29816091760993,-0.11072532042462324,-0.14314119517803192,-0.13838835060596466,-0.12696918845176697,-0.17288939654827118,-0.13041886687278748,-0.09640190750360489,0.04545184224843979,-0.0951012521982193,0.03880597651004791,0.3797559440135956,-0.04843441769480705,-0.00031851208768785,-0.04543372616171837,-0.1208164170384407,-0.15466460585594177,0.021936334669589996,-0.009542501531541348,-0.14350490272045135,
-0.28735631704330444,-0.3222007751464844,-0.35793103247880936,-0.13929516784997087,-0.24905702471733093,-0.09242232143878937,-0.22870324552059174,-0.23613779246807098,-0.013204485177993774,-0.23878516256809235,0.07949322462081909,-0.09490296989679337,0.08364831656217575,-0.5198074579238892,-0.06391111761331558,0.014151431620121002,-0.16743206977844238,-0.12050877511501312,-0.23442739248275757,-0.09289230406284332,-0.11389175057411194,-0.19356346130371094,
-0.3563218414783478,0.5203984975814819,-0.3239080411195755,-0.18430541577539536,-0.34924766421318054,-0.06225961819291115,-0.3273226022720337,-0.3674895167350769,-0.08031464368104935,-0.29892003536224365,0.057407572865486145,-0.09482072293758392,0.06651738286018372,0.6675887703895569,-0.06449414789676666,0.005612410604953766,-0.264716237783432,-0.12008881568908691,-0.328679621219635,-0.13539856672286987,-0.19442997872829437,-0.35278773307800293,
-0.3103448152542114,0.8189505338668823,-0.23999999947845935,-0.22620953797344767,-0.39949607849121094,-0.0528239980340004,-0.3687971532344818,-0.2632486820220947,-0.257901132106781,-0.3328355848789215,0.00690820999443531,-0.09486515820026398,0.030700473114848137,0.01043475791811943,-0.11051684617996216,-0.031031768769025803,-0.34198760986328125,-0.11999539285898209,-0.381514310836792,-0.2174896001815796,-0.30937474966049194,-0.3931557238101959,
