,controller config,fot safety,fot comfort,fot mean comfort,RF safety,RF comfort,RF mean comfort,RF euclidean,RF dtw
0,0.6000000238418579,0.19872063398361206,0.09893393516540527,0.006860317196696997,0.23692962534010775,0.016989367604255512,0.001229589374664703,0.3994718427564119,-33.7205145500541
1,0.6000000238418579,0.2004263997077942,0.057995736598968506,0.0049401698634028435,0.21369723505556948,0.017339035272598058,0.0016241979045294747,0.21552788406363427,-33.913339987570836
2,0.6000000238418579,0.1953091025352478,0.04605543613433838,0.006198519840836525,0.21362900442660226,0.018396577835083194,0.0014048269667912053,0.20814785024147453,-33.9301764805154
3,0.6000000238418579,0.19872063398361206,0.07078886032104492,0.007298395503312349,0.21369723505556948,0.024767615795135645,0.0017610774551584448,0.30787220049225666,-33.85243018276612
4,0.6000000238418579,0.1944562792778015,0.05458426475524902,0.006273089908063412,0.21369723505556948,0.02715567350387582,0.001982918961452015,0.24834834858725308,-33.89366138782172
5,0.6000000238418579,0.2004263997077942,0.04434967041015625,0.006030740682035685,0.21362900442660226,0.023095921874046188,0.001566500852668205,0.1707969326176957,-33.94776377028985
6,0.6000000238418579,0.2004263997077942,0.07761186361312866,0.00694418977946043,0.21369723505556948,0.017586383223533786,0.0015636103759046522,0.23164422692254225,-33.90314684531058
7,0.6000000238418579,0.2004263997077942,0.07846474647521973,0.007377630099654198,0.2137313503700532,0.01728785991668702,0.0013983940752477606,0.21810982791477707,-33.92120538604588
8,0.6000000238418579,0.2004263997077942,0.06737732887268066,0.00707003939896822,0.21362900442660226,0.01595737159252153,0.001505866672823333,0.24257389065195303,-33.915140403061976
9,0.6000000238418579,0.19872063398361206,0.05884861946105957,0.005704501643776894,0.2140298593717851,0.01939447462558752,0.0016498777009750342,0.1980255792175642,-33.92657587420653
10,0.8999999761581421,0.1270788311958313,0.06311303377151489,0.006627283990383148,0.2373219633775987,0.023223856091499462,0.001145840003842212,1.2134896375155042,-31.493030033032333
11,0.8999999761581421,0.12622594833374023,0.045202672481536865,0.00524776428937912,0.2372537333446778,0.02192747235298176,0.0013635330545446371,1.2306567060167484,-31.456048692537774
12,0.8999999761581421,0.13049036264419556,0.5731343030929565,0.01707621105015278,0.2372537333446778,0.02708743035793315,0.001763827574383375,1.2768287952695558,-31.264601349477346
13,0.8999999761581421,0.13049036264419556,0.07505333423614502,0.005834987852722406,0.2372537333446778,0.029944592118263502,0.0014483087033522063,1.2060122660141075,-31.531358552846584
14,0.8999999761581421,0.13049036264419556,0.19616198539733887,0.007074698340147734,0.2372537333446778,0.033049050569534555,0.0015950223998945467,1.2083616306628888,-31.518766885006638
15,0.8999999761581421,0.12622594833374023,0.04946696758270264,0.006347649730741978,0.2372537333446778,0.024852903485298006,0.0014931894374675474,1.200688392570008,-31.54929710287011
16,0.8999999761581421,0.13049036264419556,0.06823039054870605,0.006720493081957102,0.2372537333446778,0.02332619130611413,0.001212438556665939,1.2105812189712093,-31.51549717123734
17,0.8999999761581421,0.13049036264419556,0.6430703401565552,0.01985389180481434,0.2372537333446778,0.023087388873099912,0.001376862628538103,1.3504105423576775,-31.06416641892933
18,0.8999999761581421,0.13049036264419556,0.06140732765197754,0.007139936089515686,0.2372537333446778,0.023761156201362654,0.0013966222620401365,1.1941455118483555,-31.579098501161106
19,0.8999999761581421,0.13049036264419556,0.051172614097595215,0.007056053727865219,0.2372537333446778,0.023223845362663087,0.0013688931357665132,1.1914972555178087,-31.592189965539657
20,1.2000000476837158,0.09211081266403198,0.06823033094406128,0.006021421402692795,0.10279742724478613,0.0265586513280871,0.0025004875600229625,0.18624176970341602,-33.90860248806451
21,1.2000000476837158,0.08784645795822144,0.06567162275314331,0.008901631459593773,0.1005373353439607,0.022371000647544603,0.002043935242408475,0.20783813535252535,-33.90275971188554
22,1.2000000476837158,0.08784645795822144,0.15778237581253052,0.008621996268630028,0.10279742724478613,0.024622569680214035,0.00218913980086214,0.25216122548132736,-33.89599482432836
23,1.2000000476837158,0.09211081266403198,0.12281453609466553,0.00870122667402029,0.1005373353439607,0.022805972695350785,0.002132997706124554,0.2617030765927172,-33.895714463284236
24,1.2000000476837158,0.09211081266403198,0.07078903913497925,0.0063849445432424545,0.10279742724478613,0.025953061580658132,0.0022039133364603032,0.17988816404613878,-33.902834529347295
25,1.2000000476837158,0.09211081266403198,0.07249462604522705,0.007447543554008007,0.10279742724478613,0.01880597829818742,0.001998057590699187,0.1526572611911765,-33.92057933852483
26,1.2000000476837158,0.10234540700912476,0.07505333423614502,0.006170546170324087,0.10279742724478613,0.020409399867057698,0.0020594842387244867,0.20181872213440508,-33.9116453786155
